timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769483369.0937846,RECEIVED,5ca2b00e-4397-42c6-a6d3-ac13768c5562,a682a44b-275f-448f-b1f5-07dda13b5a37,c4,c2,26,p2,?,surb={'id': 'a96e9fd8-0172-4d02-b8c6-9548c87cc522', 'route': ['p2', 'e7', 'i4', 'x12', 'p1', 'c4']}
1769483369.4927666,SENT,df0d80b2-444d-4a96-a3eb-1eb187a0ec9a,4309587c-b1f1-453c-bb86-a0e54a0bed16,c2,DROP,2030,?,p2,
1769483369.4929,CREATED,882dfeb2-cd37-416d-9974-a885cd630c20,80fafe48-cc22-42b0-9c68-8e42f7f80fac,c2,DROP,26,?,?,
1769483369.60854,RECEIVED,e5d826a3-c37d-4cec-bf04-5b06c0b88216,be395cb4-7d75-4756-afd7-8be1815fd784,c4,c2,26,p2,?,surb={'id': '1017dbf7-94df-4784-bfbb-17d6392d599c', 'route': ['p2', 'e8', 'i9', 'x2', 'p1', 'c4']}
1769483369.9326108,RECEIVED,a70b7591-c4b1-466a-915a-7d5ae6129617,161b23f3-b7ce-4254-a1f8-280dad9b4913,c1,c2,27,p2,?,surb={'id': '1e96b2a0-5489-4a49-9d85-ffc665332c34', 'route': ['p2', 'e6', 'i8', 'x1', 'p1', 'c1']}
1769483370.1168814,SENT,84199d22-5438-45d3-93b5-f038b9908c9e,5b760959-977a-4553-b4be-d3e514488d8a,c2,c4,3379,?,p2,
1769483370.1170332,CREATED,0844d9d5-2fd5-4716-a67c-529a9e2f0102,20986b21-eedd-4deb-8d09-db7501df0b3f,c2,c4,26,?,?,surb={'id': '9ff41408-3ba1-4185-a04d-50fa4b3fdd05', 'route': ['p1', 'e9', 'i6', 'x1', 'p2', 'c2']}
1769483370.4441261,RECEIVED,a1eb7ffd-2885-4749-a867-8b17b8fa9849,23399a6a-d752-4823-930a-1fb1186cad37,c1,c2,26,p2,?,surb={'id': '20a7ede1-b464-4d7d-8cf5-a10501d0980e', 'route': ['p2', 'e7', 'i12', 'x5', 'p1', 'c1']}
1769483370.5323102,SENT,d8cd7c38-1b82-4ca2-bf5d-86a0be618877,ebb8ebd7-a0da-4546-9d06-418cb9a84b18,c2,c4,3372,?,p2,
1769483370.5324624,CREATED,ae8b96b3-86a6-4992-966e-465f9985eca3,72369ccf-95e9-4f7f-a9e9-d98620eec085,c2,c4,26,?,?,surb={'id': '6042e8cd-c5ef-4c24-96b4-d0a352f5f0b6', 'route': ['p1', 'e12', 'i6', 'x4', 'p2', 'c2']}
1769483370.545575,SENT,b95de0c5-a6be-4880-a21a-03c21cc32dc2,5ab9f7ff-97a7-4fde-895b-4cc05d779a3e,c2,c4,3371,?,p2,
1769483370.5457244,CREATED,b4f86586-aec1-4d69-a652-83aff277f76c,0ce7c6b6-72b2-4ad4-a799-bcf925e8228e,c2,c4,27,?,?,surb={'id': 'd1fa48b1-be64-4262-b765-793f33144c6f', 'route': ['p1', 'e7', 'i4', 'x12', 'p2', 'c2']}
1769483370.5860069,SENT,652b779a-b243-48a2-8b82-d9972a493453,f0950e58-4e08-4baf-8cad-4ffe82945c5e,c2,c4,3380,?,p2,
1769483370.586196,CREATED,2b94967e-e9a2-483e-abaf-b88015662405,6e1b6e50-42f8-4b28-8b66-5eccb6b1ec96,c2,c4,26,?,?,surb={'id': 'b227212f-4b77-470a-83ae-9b38a9fbeec5', 'route': ['p1', 'e6', 'i5', 'x4', 'p2', 'c2']}
1769483370.6008098,SENT,979ee3c0-1e82-4f87-bc8d-5c670ab05874,529e9523-d88b-4c9e-9f00-13dd5be0c6ce,c2,c4,3384,?,p2,
