timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745454.588984,RECEIVED,456794b4-a0b0-4507-a53f-870ae6b7ce44,f6d974f6-9753-40d1-b2ba-0e97d2e1565c,c1,c3,27,p3,?,surb={'id': '7263aa71-e660-4326-8673-fdc92f299ffa', 'route': ['p3', 'e10', 'i9', 'x3', 'p1', 'c1']}
1769745455.062003,RECEIVED,91936c8d-611b-4674-878a-6d74b5923015,0a6d2d46-a9d5-4e14-adc9-00ef4f4fdeb5,c2,c3,27,p3,?,surb={'id': '05a2ea7d-3d5f-47c3-8674-761d919989df', 'route': ['p3', 'e3', 'i1', 'x12', 'p2', 'c2']}
1769745455.165472,RECEIVED,f190ad5f-b111-4365-b5db-247c844c9ad8,ec5dd53e-ed29-4b66-b5cb-906cda6d025b,c2,c3,27,p3,?,surb={'id': '7ea67783-0525-423e-9727-98ac3d8bc8f7', 'route': ['p3', 'e6', 'i8', 'x11', 'p2', 'c2']}
1769745455.600088,SENT,e0dcb40e-393c-4779-9de3-2454dd2f6da3,67f98e3a-b721-4ced-869c-d3583b7acbe4,c3,c2,3384,?,p3,
1769745455.6002283,CREATED,3aecc2d4-e009-4e35-bcf8-6593200c6112,4092f007-a0d6-449f-8110-812295a63675,c3,c2,26,?,?,surb={'id': '35dadf07-178b-4866-b0dc-d7ddcd1b4d57', 'route': ['p2', 'e12', 'i4', 'x2', 'p3', 'c3']}
1769745455.6601648,RECEIVED,68e54116-6268-40bd-a1e5-e1f41247c809,e048434e-8caa-4b44-a1f5-b31a802ca674,c1,c3,27,p3,?,surb={'id': '10247a37-b824-48e1-a640-373c8451c9d1', 'route': ['p3', 'e4', 'i7', 'x9', 'p1', 'c1']}
1769745455.7105036,SENT,c7abeb0f-e339-40e5-946a-19961df18f69,39084e42-3482-4a3e-851a-4b6326e6845f,c3,c2,3390,?,p3,
1769745455.710813,CREATED,9093d793-30ab-4db5-b0ce-0f23dad8f44e,1f3cf52e-5d3a-4b65-86a0-c761f2a3ce22,c3,c2,27,?,?,surb={'id': '73ff6843-549c-46d6-8797-c090ffbc952c', 'route': ['p2', 'e11', 'i2', 'x7', 'p3', 'c3']}
1769745455.9675617,RECEIVED,a63d6114-da1f-4da1-bb6c-c4eda5f69cb2,ac899493-1a41-4ede-ba41-3a9d9eba0b4d,c2,c3,27,p3,?,surb={'id': '3f779f59-0844-43bc-8628-c201ce749591', 'route': ['p3', 'e5', 'i7', 'x4', 'p2', 'c2']}
1769745455.9896555,RECEIVED,0fe435ed-6bd0-4a67-ade9-c34ad6567b51,7321a9ee-f541-4827-817d-dd602ba5380c,c1,c3,27,p3,?,surb={'id': '7976a455-84ae-4485-99e7-da2b85b91f4f', 'route': ['p3', 'e2', 'i6', 'x10', 'p1', 'c1']}
