timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745455.7133765,CREATED,0383b8c6-4325-4f0c-bf24-6d2b1b9e4174,9d35ff74-307f-4890-a0eb-70ba45e083fd,c2,DROP,27,?,?,
1769745455.7814345,SENT,5bf20bf6-a0c3-48f5-af87-03a0e11db1f1,cada941f-acf4-43aa-be50-d996ab08316e,c2,DROP,2032,?,p2,
1769745455.7815475,CREATED,624f287c-109b-4446-aafa-6db9c32711d0,b51b8f5a-1d5e-4ff2-aa7c-1ed2a079752e,c2,DROP,27,?,?,
1769745455.796351,RECEIVED,2c229dfa-063f-4fc8-a2cb-f8aa6503f047,356c461c-de8d-48c0-a564-b6d13ccdf93e,c5,c2,27,p2,?,surb={'id': 'cfd13c1d-94f9-43b6-a813-a80fc3212fa6', 'route': ['p2', 'e1', 'i12', 'x5', 'p2', 'c5']}
1769745455.9204068,RECEIVED,6ae5a896-5eff-4f88-ae1f-83696018f1d8,5699251d-abff-4cb5-98bc-d3ceabbb9b18,c4,c2,26,p2,?,surb={'id': '814fe876-70c5-404c-ac08-b8576f8ec753', 'route': ['p2', 'e5', 'i9', 'x1', 'p1', 'c4']}
1769745455.9416401,RECEIVED,76aef3bd-ee43-48b5-a0cf-1d7ed3db00d4,efba11fc-4c78-4b69-a05d-12b6a679358a,c3,c2,27,p2,?,surb={'id': 'd36498fc-087e-4e9a-9c8f-ebed2e25b3d5', 'route': ['p2', 'e8', 'i3', 'x1', 'p3', 'c3']}
1769745456.041381,SENT,400216bf-6cd7-4991-bfef-98ae12a155b5,5bf0f5e7-16af-4a6b-b44b-80e85027cc37,c2,c3,3395,?,p2,
1769745456.041536,CREATED,9c31ed2e-39a6-486f-83dd-81f39846ade9,108c85aa-9b9f-4cac-9b55-53225c8b66d4,c2,c3,27,?,?,surb={'id': 'a33efa25-8d93-47d2-bb23-97002f18dcd5', 'route': ['p3', 'e3', 'i3', 'x11', 'p2', 'c2']}
1769745456.051488,RECEIVED,88b4203e-c5f6-436d-bd55-c564e11a162c,05b6a58c-bb96-4a2b-aabe-1a4ad17cda48,c3,c2,27,p2,?,surb={'id': 'ceb98c48-72e6-4fc4-9c28-f5839ec995c1', 'route': ['p2', 'e6', 'i10', 'x8', 'p3', 'c3']}
1769745456.1618972,RECEIVED,ff1ccd08-74c9-4f11-8ab4-14f89630838b,089f6d5a-634c-4f1d-80aa-18309a449705,c5,c2,27,p2,?,surb={'id': '2eacc3d6-67e5-47af-96b6-b13509575d15', 'route': ['p2', 'e4', 'i7', 'x6', 'p2', 'c5']}
1769745456.2918677,RECEIVED,c33bce1b-7c8e-48af-af7e-7cb143f888ca,ec268cc4-96a8-422b-b455-f6937be1996b,c5,c2,26,p2,?,surb={'id': '967d883d-73f8-48f3-8acc-2fbd7eec78f1', 'route': ['p2', 'e6', 'i11', 'x3', 'p2', 'c5']}
