timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391962.4489121,CREATED,0d9a04c1-f627-46ba-a2ba-1241807e3bd8,d99a5023-9176-4fe6-899d-5b062b866f27,c5,c4,26,?,?,surb={'id': 'e068d7c3-a731-4d15-8718-4eb5a1e47728', 'route': ['p1', 'e3', 'i11', 'x6', 'p2', 'c5']}
1769391962.591485,RECEIVED,178a9d1d-a556-45d2-aa1d-626c0e8fd655,7731809e-2ca0-4edc-b4a7-3af0a3c6998e,c2,c5,26,p2,?,surb={'id': '757e1187-b7ad-42dd-88ab-6a7a6266aa1e', 'route': ['p2', 'e12', 'i8', 'x8', 'p2', 'c2']}
1769391962.6814647,RECEIVED,80a6ee73-2db5-4c05-aff0-ceb770c20a78,873fbcfe-c4e0-4a20-b53c-16e4b19344b1,c1,c5,27,p2,?,surb={'id': 'f96e17cb-0ee7-4483-ba0e-8685c720d3aa', 'route': ['p2', 'e11', 'i5', 'x4', 'p1', 'c1']}
1769391963.0226247,SENT,ba516be4-1c8a-4e8e-b3d6-5e8732cf21f9,7dd17043-3ec0-41ec-bb05-bee4a0c2fa3a,c5,c4,3388,?,p2,
1769391963.0227735,CREATED,386dfc8b-0471-4782-bba3-8353090752d7,33e96c61-ad0c-4192-999a-55a2e51c9f79,c5,c4,27,?,?,surb={'id': '3f94be19-979f-421b-85d0-dea99f39c680', 'route': ['p1', 'e11', 'i10', 'x7', 'p2', 'c5']}
1769391963.1969795,RECEIVED,9d036325-ca86-4337-834a-d364d92452e0,d6b654c0-fb30-4f48-bd96-2919b0c56905,c2,c5,27,p2,?,surb={'id': '63034766-f1a1-4f1b-9b20-3778c52bea4b', 'route': ['p2', 'e4', 'i8', 'x7', 'p2', 'c2']}
1769391963.228454,SENT,3805cd5c-c2c3-4717-8318-a8bd51c716ed,3f1b9a94-6261-4e49-9267-030e30fe2860,c5,c4,3386,?,p2,
1769391963.228601,CREATED,ee3e5127-c37e-46d1-957f-88a8d54ab5fe,077b9faa-b346-487b-8fd3-ed09c720a0e6,c5,c4,27,?,?,surb={'id': '9df97add-87b7-4136-af92-a02283b8c576', 'route': ['p1', 'e10', 'i2', 'x10', 'p2', 'c5']}
1769391963.4835336,RECEIVED,eee911a8-0e76-467f-b8a0-88ca9eabdecd,5e8491fd-3edd-40c9-a672-4fe88bcfe07f,c2,c5,27,p2,?,surb={'id': '6ea1818b-af32-4cde-8300-bb802dfe2f7a', 'route': ['p2', 'e6', 'i7', 'x7', 'p2', 'c2']}
1769391963.533703,SENT,2522e203-aab2-4678-ab28-b8047930565d,8ac49ad3-e4c1-4c43-bd80-28ff74022405,c5,c4,3380,?,p2,
1769391963.5338528,CREATED,14b54608-9811-4376-a7cc-1f28402d28c2,45d663ae-fe63-478a-846f-06498486d27d,c5,c4,26,?,?,surb={'id': 'd2c61f7a-661d-4681-87f5-47ca4c02557e', 'route': ['p1', 'e12', 'i2', 'x8', 'p2', 'c5']}
1769391963.7176592,SENT,53b50acd-4a09-4959-a7f5-343a133e0c76,9847f808-45e4-4f5c-9817-76e0d4b46e46,c5,c4,3383,?,p2,
1769391963.7179785,CREATED,e704e3d0-3e06-4722-abee-100710a7d760,ffc8e8a5-6fa2-4dfe-a182-d304be79a825,c5,c4,26,?,?,surb={'id': '57ecf36b-2daf-4d8e-8945-d93712c5c54c', 'route': ['p1', 'e8', 'i6', 'x8', 'p2', 'c5']}
1769391963.7836974,SENT,de806261-bb44-46da-8d09-51568053c025,7ebab6d4-bbfb-4a1c-8abc-11bfd7739549,c5,c4,3396,?,p2,
1769391963.783847,CREATED,73f906cb-f23b-49df-8c2b-1ac512b6f0bd,ac25b2fc-71f6-46e0-8c4f-abcc19189377,c5,c4,27,?,?,surb={'id': 'eb525182-287a-444c-aa43-1b45bcda535d', 'route': ['p1', 'e12', 'i5', 'x8', 'p2', 'c5']}
1769391963.8369703,RECEIVED,53c9678a-356f-46c6-9f26-27516f1848dd,b4270779-601d-418f-9bca-e1ac1cc1ab6e,c2,c5,27,p2,?,surb={'id': '516b98a6-9a20-4599-beee-7ed52f3fd1e6', 'route': ['p2', 'e9', 'i5', 'x1', 'p2', 'c2']}
1769391963.9030178,RECEIVED,a02d1684-1279-4009-9c3b-05aca7ba85d6,26636674-5cc6-41e7-b815-39718ea82759,c2,c5,27,p2,?,surb={'id': 'd0830584-b984-402b-b5d8-928590b89d67', 'route': ['p2', 'e10', 'i8', 'x11', 'p2', 'c2']}
1769391963.918745,RECEIVED,f9a51982-d708-4fc2-92ae-18d8ca9de0e6,c2780a6f-f874-41f8-8446-eea914731613,c2,c5,27,p2,?,surb={'id': '8a82714c-1617-4a3a-8e9a-828c7248071c', 'route': ['p2', 'e10', 'i3', 'x3', 'p2', 'c2']}
1769391964.0264695,RECEIVED,4dd704a1-b34f-42f3-a340-2f198a799458,3f5ace53-7400-42e6-8a1f-eb00bd08d972,c1,c5,27,p2,?,surb={'id': '9d5cbd06-f4b3-4aba-82c4-54d1a37d05be', 'route': ['p2', 'e4', 'i11', 'x4', 'p1', 'c1']}
1769391964.1537738,RECEIVED,590d7a5d-2a33-4435-bbff-251a1d4eb260,23eb6941-5c8b-483d-915c-3e64130b590e,c1,c5,27,p2,?,surb={'id': '983615b4-28ea-47e5-b378-c5bf2d206e25', 'route': ['p2', 'e11', 'i3', 'x5', 'p1', 'c1']}
1769391964.2412927,RECEIVED,6b879693-31ce-480f-9bd6-e9b11b1b0709,93964d67-1513-48ea-b0e4-a28713b25274,c1,c5,27,p2,?,surb={'id': 'ca067e0e-e1d6-4914-b3a2-ce80b29f3ffd', 'route': ['p2', 'e11', 'i4', 'x1', 'p1', 'c1']}
1769391964.2583811,RECEIVED,dda8693a-ed04-482b-ad8b-1dc159b4356f,312a37af-6e66-4460-a906-9385c7ceb807,c2,c5,27,p2,?,surb={'id': '50ab3e61-b69c-4d3c-8ae8-84d29f93ef90', 'route': ['p2', 'e4', 'i6', 'x4', 'p2', 'c2']}
1769391964.280503,RECEIVED,e1af506d-fcab-44fb-9203-eedb2bacdd20,50412067-e607-4f8e-ac14-4afd1062a541,c2,c5,27,p2,?,surb={'id': '84f33446-0bb0-4a44-a276-78e9dbb4eece', 'route': ['p2', 'e2', 'i10', 'x10', 'p2', 'c2']}
1769391964.2926877,SENT,f1413e25-5485-44e7-b1a2-2e591aab8671,63f27797-61a8-4f73-9f76-a3a353f1fe1f,c5,c4,3351,?,p2,
1769391964.292775,CREATED,d58f31f4-1dea-4469-886c-db5328f8e017,6caf1711-9494-4547-8b35-f75a32d0c449,c5,c4,25,?,?,surb={'id': '8a95bf44-c038-4f6d-9ca5-5935a2622f7c', 'route': ['p1', 'e7', 'i3', 'x7', 'p2', 'c5']}
1769391964.4315338,RECEIVED,294c2f59-dfc0-422f-9b89-8fb68dcf72b6,a6271ba8-8bcb-4a8c-bad3-b7a05f102320,c2,c5,27,p2,?,surb={'id': '5014da64-8b72-4143-b9fa-4a77e826a9d3', 'route': ['p2', 'e4', 'i8', 'x7', 'p2', 'c2']}
1769391964.583507,RECEIVED,653a37dc-f6ef-4333-a573-62b134661b41,917c3c24-d077-4eac-96b2-530482ada057,c2,c5,27,p2,?,surb={'id': 'f535b853-f843-4223-b1c3-a726a82573e2', 'route': ['p2', 'e7', 'i5', 'x6', 'p2', 'c2']}
1769391964.6038883,RECEIVED,54f40c80-4dce-44ad-8c79-24dad8f37bfd,bd8481be-e1ed-433e-a186-78d608503383,c1,c5,27,p2,?,surb={'id': '99e15b77-c0b6-44dc-bddc-fabcd30cc199', 'route': ['p2', 'e12', 'i3', 'x3', 'p1', 'c1']}
1769391964.6244457,SENT,303ef659-b8c3-4402-863e-027ef0112487,61dd0619-92ea-4ad1-8c73-d41983363cc6,c5,c4,3399,?,p2,
1769391964.6245933,CREATED,e3fd09aa-6e59-4299-881d-d7d6ead6a586,25965ea8-06a6-4be6-ad63-179ee25ff49f,c5,c4,27,?,?,surb={'id': '1614db89-c45a-4b06-a6f5-34ab0a05dae7', 'route': ['p1', 'e7', 'i4', 'x10', 'p2', 'c5']}
1769391964.6463196,RECEIVED,56eea5f8-b752-4248-8993-f165ada3872c,d381bc56-d64e-45de-8e8c-42f512303634,c2,c5,27,p2,?,surb={'id': '094815a4-d9e4-4d83-ac7f-8f701ad346e9', 'route': ['p2', 'e9', 'i5', 'x8', 'p2', 'c2']}
1769391964.6571317,RECEIVED,b5826615-1207-4e68-b017-efee3fdd84ff,bd6c7a16-df33-412b-aa0c-71f64529768f,c1,c5,27,p2,?,surb={'id': 'f244f4fe-ea1c-4368-8a01-b4f4bfa0f283', 'route': ['p2', 'e4', 'i11', 'x2', 'p1', 'c1']}
1769391964.7399647,RECEIVED,02bc03b6-1835-4970-9d63-07941f864715,639fe716-2e66-477f-9771-914aafe7c0fd,c2,c5,27,p2,?,surb={'id': '3d47475e-fd73-4f47-b550-df1963a7e725', 'route': ['p2', 'e4', 'i9', 'x9', 'p2', 'c2']}
