timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458077.791656,CREATED,49537b56-b6d5-4f0a-8b4c-414bfc09105d,64023e3a-2264-4677-a82d-50d7edad13e0,c1,c5,27,?,?,surb={'id': '5b88dca8-4d82-4d3a-9b9d-2b9adb8a9261', 'route': ['p2', 'e10', 'i4', 'x7', 'p1', 'c1']}
1769458077.902728,RECEIVED,01187946-c71a-4950-a2fd-4ee34d8962b2,9c9ad444-6af1-499d-848d-01d33b9b86b4,c4,c1,27,p1,?,surb={'id': '5fb1a4e0-8143-4a11-b990-84d5e15976b3', 'route': ['p1', 'e1', 'i3', 'x8', 'p1', 'c4']}
1769458077.957175,RECEIVED,c8948997-ff5c-46c6-ad2e-10c5a2c7ed93,d9811889-807e-4e32-9832-6d71146b7872,c2,c1,27,p1,?,surb={'id': '6f3296b4-54b5-4194-ac4c-2a2fd5f158eb', 'route': ['p1', 'e2', 'i4', 'x9', 'p2', 'c2']}
1769458078.0455241,RECEIVED,4520ee2f-56c2-4dc5-889f-2366a5422281,1d1a03a0-d4b4-437c-a418-75f1d739f2cc,c4,c1,27,p1,?,surb={'id': '834e6bc6-2a44-4409-bd6a-e77acf744489', 'route': ['p1', 'e10', 'i3', 'x4', 'p1', 'c4']}
1769458078.0876682,RECEIVED,01ce9f49-f5df-4b93-ad88-988640bc3de1,a7a8df8c-8691-4369-ba5c-455ad8030c5a,c2,c1,26,p1,?,surb={'id': '44a4fdfc-3163-4978-9094-3f4b0b280680', 'route': ['p1', 'e10', 'i9', 'x12', 'p2', 'c2']}
1769458078.2032218,RECEIVED,28c214ea-d87f-46dc-b6be-84bb211d751f,840ca650-0a0e-4374-85e2-e6f1159f659c,c4,c1,26,p1,?,surb={'id': '2f8ac4d3-6c82-4d9a-ab98-7e9997eddd39', 'route': ['p1', 'e4', 'i12', 'x8', 'p1', 'c4']}
1769458078.4733264,RECEIVED,40940227-9cfb-46de-b5b4-698b15ff0fd2,90741964-6ec8-4445-a3d2-e478932d2a03,c4,c1,27,p1,?,surb={'id': '07fa9c4e-2147-42e8-a7bd-d18683349a25', 'route': ['p1', 'e3', 'i7', 'x6', 'p1', 'c4']}
1769458078.4785447,RECEIVED,d091c342-424f-4fe6-90dc-684040501512,404e314a-6bda-4af8-893e-050104be2c24,c4,c1,27,p1,?,surb={'id': '092bd38a-fc63-4b5d-bab9-6b7b2734710a', 'route': ['p1', 'e10', 'i6', 'x11', 'p1', 'c4']}
1769458078.5474741,RECEIVED,d9a368c1-f6ae-4a07-9501-041f4d9c7e91,cff28545-23f2-4834-83d8-a7a266a39efb,c4,c1,27,p1,?,surb={'id': '69cc2b1b-2ca1-4a84-9293-5da9389142c4', 'route': ['p1', 'e6', 'i6', 'x2', 'p1', 'c4']}
1769458078.568358,RECEIVED,1b2140a6-676a-4d44-9985-9f92a090a7df,8772f72b-7291-43fc-815c-a114b73d48a6,c2,c1,27,p1,?,surb={'id': '778a55ee-1252-494e-9b51-b9a0a8b77b16', 'route': ['p1', 'e4', 'i9', 'x3', 'p2', 'c2']}
1769458078.5857933,RECEIVED,1aaef704-a5a3-42a8-b0ab-96e7e193d1b3,2accaf7e-cb8a-4e8f-b21f-b6c8de6757a6,c2,c1,26,p1,?,surb={'id': '157c4263-4744-4270-b47a-1bb5be115a47', 'route': ['p1', 'e2', 'i5', 'x10', 'p2', 'c2']}
1769458078.6299675,RECEIVED,a558bd5a-144d-4e32-ab7a-f7b93d0cb810,c949398e-bf23-4e89-adef-3c1b94b8c20a,c4,c1,27,p1,?,surb={'id': '01a50a54-f5dd-40da-a2ee-2a594a8094e4', 'route': ['p1', 'e6', 'i6', 'x8', 'p1', 'c4']}
