timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759025.9742904,SENT,64e66a11-9621-43ec-9d0e-e9138a5ca3c8,85e4fbb9-174d-43ad-a46e-c9cca9f750c2,c5,c3,3401,?,p2,
1769759025.9744236,CREATED,e9131755-6707-4243-be41-1bec412eef92,aa9b973c-2304-4df3-997b-ec4ec4cf5f78,c5,c3,27,?,?,surb={'id': 'f6f48429-84e4-4059-8ff5-eacc1f36bb66', 'route': ['p3', 'e11', 'i10', 'x4', 'p2', 'c5']}
1769759026.2313147,SENT,4a07044b-2fc0-4abe-9261-1c15d33f55a1,c908bf49-5fb4-41a1-9493-02bdd5aa4580,c5,c3,3405,?,p2,
1769759026.23147,CREATED,441481e5-9a38-4d30-8cbb-e037145964d8,aa9b973c-2304-4df3-997b-ec4ec4cf5f78,c5,c3,27,?,?,surb={'id': 'f6f48429-84e4-4059-8ff5-eacc1f36bb66', 'route': ['p3', 'e11', 'i10', 'x4', 'p2', 'c5']}
1769759026.4133506,RECEIVED,c34d18d7-0a02-434c-93af-30b34f653607,bdeb25e3-05ce-4a68-a681-36370379c24d,c3,c5,27,p2,?,surb={'id': '5614180e-8b93-42db-b4a1-92a61c317db0', 'route': ['p2', 'e2', 'i6', 'x10', 'p3', 'c3']}
1769759026.4425867,SENT,43665e54-d946-410e-b138-a8a904bd5f42,63136b07-36e6-433d-b610-c121a7ff028c,c5,c3,3359,?,p2,
1769759026.4427233,CREATED,581b1b10-8c1b-4359-bd37-42c69376e489,2dd12c83-11e1-4a74-84b0-cf215815ca6e,c5,c3,27,?,?,surb={'id': 'a9a59e0c-ca74-40b2-886a-e23c0d305491', 'route': ['p3', 'e7', 'i5', 'x4', 'p2', 'c5']}
1769759026.5422099,RECEIVED,f3472dad-2c3f-46bf-a396-f9c6e407752d,e6a1e68c-43fa-4d18-8bb7-1bad2913440e,c1,c5,27,p2,?,surb={'id': '501cc6b1-ff87-4fe3-a6e4-9f0e206d8867', 'route': ['p2', 'e12', 'i5', 'x10', 'p1', 'c1']}
1769759026.6175733,SENT,af82ee27-637d-4726-be1a-da9e55d85e55,ab3c2755-4632-40d4-8af2-f49147f01d37,c5,c3,3364,?,p2,
1769759026.6177082,CREATED,68a8ac20-2295-4b40-b3dd-2f458cb8f19a,2dd12c83-11e1-4a74-84b0-cf215815ca6e,c5,c3,27,?,?,surb={'id': 'a9a59e0c-ca74-40b2-886a-e23c0d305491', 'route': ['p3', 'e7', 'i5', 'x4', 'p2', 'c5']}
