timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475347.5732117,RECEIVED,1a0f2f35-2be0-41e0-8692-a2d3e7db827d,156ac1f3-b945-4e14-992f-5eccbcf737e4,c4,c1,26,p1,?,surb={'id': '98d47182-2d1e-4a7b-8169-dd35246ef5e0', 'route': ['p1', 'e4', 'i3', 'x6', 'p1', 'c4']}
1769475347.683843,RECEIVED,01a74195-5706-43b2-9535-62371a525a10,983ff656-0bac-487f-ae1c-e912353f64ee,c4,c1,27,p1,?,surb={'id': 'e4f671c5-f327-4d5e-ab6b-5cf8489b1ff0', 'route': ['p1', 'e12', 'i4', 'x12', 'p1', 'c4']}
1769475347.959115,SENT,bf4d7116-434a-44e1-9db3-5b201f201b6a,20f83400-e80b-481e-a7be-e3dba4349bf6,c1,c4,3385,?,p1,
1769475347.9592643,CREATED,436d5324-2618-4960-a65e-03730a9bfc06,46eae740-4cc8-4c5a-af66-37f8a15961d5,c1,c4,27,?,?,surb={'id': '5600dd06-0d41-4412-b381-42b6f116b562', 'route': ['p1', 'e5', 'i2', 'x8', 'p1', 'c1']}
1769475348.080779,RECEIVED,bddfdeb1-fa7b-49bd-8019-3684d352e71f,60b12bbb-6f36-421b-a6d7-6c6ca8702690,c4,c1,27,p1,?,surb={'id': '80125f73-f7da-4dbf-a2b7-04ed08803483', 'route': ['p1', 'e11', 'i5', 'x11', 'p1', 'c4']}
1769475348.1267033,RECEIVED,af727383-0a0a-4628-af39-557046a25434,156ac1f3-b945-4e14-992f-5eccbcf737e4,c4,c1,26,p1,?,surb={'id': '98d47182-2d1e-4a7b-8169-dd35246ef5e0', 'route': ['p1', 'e4', 'i3', 'x6', 'p1', 'c4']}
1769475348.3166637,SENT,f544d1cb-266a-465f-8abf-4767198d888c,bbdee9a9-4f91-40b0-abb9-edc0c583fcc9,c1,c4,3384,?,p1,
1769475348.3168,CREATED,e8023329-ce6d-41cb-9cbb-3c8d58172913,46eae740-4cc8-4c5a-af66-37f8a15961d5,c1,c4,27,?,?,surb={'id': '5600dd06-0d41-4412-b381-42b6f116b562', 'route': ['p1', 'e5', 'i2', 'x8', 'p1', 'c1']}
1769475348.5611138,RECEIVED,d569beb5-6586-429c-92ad-6210e1873ad8,28b1ff86-51a4-4597-b41f-9a5b0dbbedc0,c4,c1,27,p1,?,surb={'id': 'b5bd2b8c-e2bf-4312-b579-1300f2f32f23', 'route': ['p1', 'e11', 'i6', 'x1', 'p1', 'c4']}
1769475348.587151,RECEIVED,ee6607bb-0630-4a91-ab36-3841e7af1236,ba7a1070-7f0d-4f86-9e49-db7a70c7b304,c4,c1,27,p1,?,surb={'id': 'a1d1d431-fd49-4bf9-8694-d9a56532f15b', 'route': ['p1', 'e8', 'i3', 'x2', 'p1', 'c4']}
1769475348.818371,SENT,9ee1a126-9088-44a7-b8b2-9863aea353f5,1cee364f-c27f-4184-a250-5039a575728d,c1,c4,3371,?,p1,
1769475348.8185205,CREATED,fd9c0f8b-ab51-45fd-bd78-c39ec6c4486e,5c88b46e-98ed-4ecf-947b-a9bb257fd7d0,c1,c4,27,?,?,surb={'id': '886dd165-ee52-42b0-adc5-4631d9e6921d', 'route': ['p1', 'e9', 'i12', 'x2', 'p1', 'c1']}
1769475348.941842,SENT,e921d9ea-7b39-4057-b3f2-081956c92163,79f99f22-06d3-4e2b-9bbe-99e06bbdb132,c1,c4,3379,?,p1,
1769475348.941995,CREATED,7807bfa7-e43c-4d92-8207-c036e19875c0,5c88b46e-98ed-4ecf-947b-a9bb257fd7d0,c1,c4,27,?,?,surb={'id': '886dd165-ee52-42b0-adc5-4631d9e6921d', 'route': ['p1', 'e9', 'i12', 'x2', 'p1', 'c1']}
1769475349.1536736,SENT,5dd0c396-2c8c-422d-94c8-3734c0c30d53,54a78824-6be8-46f1-8b97-0b3ee071e1d0,c1,c4,3376,?,p1,
1769475349.1538174,CREATED,11a72e12-fda7-43c1-956f-96cf4b5bf8af,793b0a64-a6c8-45f1-8b81-6e0ef0acee6f,c1,c4,27,?,?,surb={'id': 'd3f65a9b-6533-403d-9684-0034994eadea', 'route': ['p1', 'e7', 'i5', 'x3', 'p1', 'c1']}
1769475349.6097631,RECEIVED,47895c66-96f6-4b98-9e3b-6bd96d3695e7,0a4b0f3e-6d45-476f-856e-f03e452be655,c4,c1,26,p1,?,surb={'id': 'f962305f-a0af-44f0-ad55-da5b2ac75b19', 'route': ['p1', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769475349.6845696,RECEIVED,8432f0e5-b2af-4092-b31d-e42deea7f88b,28b1ff86-51a4-4597-b41f-9a5b0dbbedc0,c4,c1,27,p1,?,surb={'id': 'b5bd2b8c-e2bf-4312-b579-1300f2f32f23', 'route': ['p1', 'e11', 'i6', 'x1', 'p1', 'c4']}
1769475350.0765593,SENT,a80c636d-c1f8-4260-b1b0-e9c63a4f0120,6f514e9e-a2a2-41c0-b3f4-10e1ee64e297,c1,c4,3392,?,p1,
1769475350.0767198,CREATED,c90aa592-e021-441e-a425-22aaee5a72b5,793b0a64-a6c8-45f1-8b81-6e0ef0acee6f,c1,c4,27,?,?,surb={'id': 'd3f65a9b-6533-403d-9684-0034994eadea', 'route': ['p1', 'e7', 'i5', 'x3', 'p1', 'c1']}
1769475350.2181976,SENT,34f5b366-be03-448e-87ff-8a8482c90527,5abcc98d-cb50-4575-901e-7c430b55ba9c,c1,c4,3387,?,p1,
1769475350.218285,CREATED,332b31bb-34a3-47cb-9523-9ae268a03675,0433bf35-7403-49fd-9836-d052eda6c22e,c1,c4,27,?,?,surb={'id': 'e322c6e8-e948-4cce-ae02-9d85c4dfadf1', 'route': ['p1', 'e9', 'i11', 'x7', 'p1', 'c1']}
1769475350.418847,RECEIVED,19b79000-03df-4e77-8176-351670eb63c4,395bdf7f-4d24-4cf0-b321-516191a895f8,c4,c1,27,p1,?,surb={'id': '23e60047-71c8-4b1d-9cce-1ffbc4fbe397', 'route': ['p1', 'e5', 'i8', 'x1', 'p1', 'c4']}
1769475350.7280865,RECEIVED,78572cab-16a3-4eb2-92f5-f0b049117159,395bdf7f-4d24-4cf0-b321-516191a895f8,c4,c1,27,p1,?,surb={'id': '23e60047-71c8-4b1d-9cce-1ffbc4fbe397', 'route': ['p1', 'e5', 'i8', 'x1', 'p1', 'c4']}
1769475350.8719654,RECEIVED,8d7ce4ca-9aab-4ae2-ae8e-ced3b3862859,e3f599d2-0002-4281-bc08-ee0341f3ebc8,c4,c1,27,p1,?,surb={'id': 'c0cd4aa4-8be4-4ff9-a924-3e985cf1794a', 'route': ['p1', 'e9', 'i9', 'x8', 'p1', 'c4']}
1769475351.2404668,SENT,02a4a8b5-15b4-4aa5-a0eb-481f88dd5c6f,b5aa1274-29f4-49b7-a199-8f2a8ba3edae,c1,c4,3397,?,p1,
1769475351.2406259,CREATED,a70847d4-ccd2-46f2-b415-6d59233c41f8,0433bf35-7403-49fd-9836-d052eda6c22e,c1,c4,27,?,?,surb={'id': 'e322c6e8-e948-4cce-ae02-9d85c4dfadf1', 'route': ['p1', 'e9', 'i11', 'x7', 'p1', 'c1']}
1769475351.3915656,SENT,f3205df8-2a9a-4938-8fd1-3bf246765ce8,e097ae1c-b128-4b1b-9d6a-5efc981f6c9b,c1,c4,3355,?,p1,
1769475351.3917415,CREATED,58285602-2c33-470c-8cca-a8db4ccfb861,3d765a5f-6d74-4e31-a042-ac0e99791d87,c1,c4,26,?,?,surb={'id': '2fce8fd2-d5fd-43ed-820c-34e157b63d4d', 'route': ['p1', 'e2', 'i6', 'x2', 'p1', 'c1']}
