timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769488302.747952,RECEIVED,02e7bbd2-f4e3-4761-b1f1-7748595b9441,14809131-8110-443f-ad88-c34d4e282fb3,c1,c5,27,p2,?,surb={'id': 'f7ae21e2-aa6a-4cc9-a239-d776673fbfe6', 'route': ['p2', 'e9', 'i5', 'x4', 'p1', 'c1']}
1769488303.4624457,RECEIVED,ff6f0034-beb3-44fd-b209-e4871aace09c,22801c57-0d44-4d65-9021-f892f2dc011d,c1,c5,27,p2,?,surb={'id': 'df22c016-88a3-4051-a473-0d562159496a', 'route': ['p2', 'e12', 'i9', 'x2', 'p1', 'c1']}
1769488303.5498896,SENT,4c8d42b8-1d18-4bc3-a784-4fc2a92d70c9,b75b93c8-6dbd-44d4-b998-18d741010d77,c5,c3,3359,?,p2,
1769488303.5500355,CREATED,b6519315-5fbe-419e-9f6d-661e094553ca,056b38fe-85d0-4de9-9ee9-2c31b85adafc,c5,c3,26,?,?,surb={'id': 'e9725f08-3aff-4afe-bc6e-9ba14481c0f3', 'route': ['p3', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769488303.8411992,SENT,7ced32ff-fd1d-48f9-a6ff-2fee8970d41e,634effd5-8acf-4fe1-9777-352fa0bf68a9,c5,c3,3383,?,p2,
1769488303.841353,CREATED,f9bfdeb2-89b2-436c-83d9-d87baad76019,804796e2-649c-46e9-9fdc-df088e7b4f52,c5,c3,26,?,?,surb={'id': '6f3a06af-0c8f-4b39-802b-2829fa59fa7a', 'route': ['p3', 'e10', 'i8', 'x5', 'p2', 'c5']}
1769488304.132464,SENT,68d527fc-7aad-4825-8e85-3908b119459c,99ad74e2-f728-4600-a69d-5be7178bce59,c5,c3,3388,?,p2,
1769488304.1326127,CREATED,5fa44ccc-45da-4b58-9e4b-3ab13b849a5e,6d661d09-8887-4a4a-bc03-6b99cc8e3cc7,c5,c3,26,?,?,surb={'id': 'bde87aee-c7b0-41aa-8e33-c7998021119f', 'route': ['p3', 'e10', 'i11', 'x5', 'p2', 'c5']}
1769488304.2065182,SENT,7c9db25c-b1c3-416a-8388-7ed29198555e,4506b886-7447-4628-8655-03e8c80fa583,c5,c3,3372,?,p2,
1769488304.2066028,CREATED,51555634-c716-47ce-b9b6-839ad8f0da3b,74d4f926-2410-40ab-a348-fc4ccfc0c5f7,c5,c3,27,?,?,surb={'id': '1a1733b6-42c3-4677-b041-69292ed1c207', 'route': ['p3', 'e12', 'i10', 'x2', 'p2', 'c5']}
1769488304.3714988,SENT,9dee35fd-50a1-40a1-8d65-c98bb816d9ed,939b801d-fa9a-4705-94a5-86b7c1fc21f5,c5,c3,3367,?,p2,
1769488304.371647,CREATED,0377284b-37a8-435e-82b9-37c1adcb993b,3a416431-e727-4f4e-ba6b-97b8d4e449d8,c5,c3,26,?,?,surb={'id': 'fefe1c7c-ff37-4811-8c22-0e4d26d6bea8', 'route': ['p3', 'e10', 'i1', 'x10', 'p2', 'c5']}
1769488304.429234,SENT,48e7ffdb-b993-4bb1-8865-a1a8bf6ce11b,d879a176-f7ed-4786-b51b-e2eb695fbc97,c5,c3,3388,?,p2,
1769488304.4293327,CREATED,35a66f69-6476-462b-93a9-b2b56860b015,8c71b5d3-8694-45a9-a2be-6d144c45fd9d,c5,c3,27,?,?,surb={'id': '67bf8225-7927-44bc-9bdc-787480232c00', 'route': ['p3', 'e2', 'i9', 'x5', 'p2', 'c5']}
1769488304.4397407,RECEIVED,bdb0432a-6d26-4806-9ecc-c6bfc70d8f53,acebdbfd-35fc-4ad4-b4cb-4ff165dad68d,c1,c5,26,p2,?,surb={'id': '91940bb1-e7c2-43b5-a714-843d226ff3d9', 'route': ['p2', 'e7', 'i2', 'x11', 'p1', 'c1']}
1769488304.565494,SENT,23c14b1e-d4cc-4825-bbb2-0bd0c3ec7a67,7e58dc82-08b2-410f-84c5-c5296d8b8b7a,c5,c3,3384,?,p2,
1769488304.5655801,CREATED,ff8dbeef-977b-441e-acca-195d77a1eda0,4a2d892c-7de5-4d30-8d67-0a7c13ae40f1,c5,c3,27,?,?,surb={'id': 'f90a853b-1483-4cea-8dce-512c720af3ed', 'route': ['p3', 'e9', 'i10', 'x5', 'p2', 'c5']}
1769488304.630453,SENT,c5a89e8f-c42d-455c-8d42-51a7e4aa2697,700ae77f-00f2-4d11-8b4b-32fa7c5a2b61,c5,c3,3400,?,p2,
1769488304.6305392,CREATED,7a447dd0-fa7e-45d2-b349-c2ad5725113e,6358f2aa-dc25-4bf6-a724-4d39ed2b656b,c5,c3,27,?,?,surb={'id': '2c45de2d-d555-482e-a5e6-060258e32078', 'route': ['p3', 'e10', 'i5', 'x1', 'p2', 'c5']}
1769488304.6439183,SENT,7dcf551e-6d52-4918-b744-55dff90e4f87,09dd19f3-e5d4-4cb5-b657-4cd5d132417c,c5,c3,3388,?,p2,
1769488304.6440096,CREATED,7479107f-8577-45ff-b2fc-0245840e6afa,48004829-5cbd-4436-9d5b-b6a31fe3d472,c5,c3,26,?,?,surb={'id': '3183d1df-69ec-438b-a60e-d33572a9532b', 'route': ['p3', 'e4', 'i9', 'x11', 'p2', 'c5']}
1769488304.767589,RECEIVED,d6464ebf-25c3-4526-b24a-f587ad3118d0,c2bec025-8d69-415c-8fe4-559f19d27eb7,c1,c5,27,p2,?,surb={'id': 'b7cf1656-29df-4d0e-a888-17167e4f333b', 'route': ['p2', 'e1', 'i6', 'x6', 'p1', 'c1']}
1769488304.8521616,RECEIVED,35408d77-102c-4445-a798-f4111725c51d,083b75b0-14fa-4e37-a9d7-8778a2da8c36,c1,c5,27,p2,?,surb={'id': '2f818aea-3052-4498-a7e0-209b40bcb21f', 'route': ['p2', 'e1', 'i1', 'x12', 'p1', 'c1']}
1769488305.0744193,SENT,c2e27406-0db3-4b2a-8a78-be451aaee2ce,ae359b31-670f-401a-9d91-3c16bf2de688,c5,c3,3383,?,p2,
1769488305.0745668,CREATED,a3abae5d-c5fb-40e9-ac90-147327c832d6,0d0a66fb-1973-4af6-a026-da6c8eb6860d,c5,c3,26,?,?,surb={'id': '6c881238-1c45-44c6-ad74-c665cdc1f300', 'route': ['p3', 'e9', 'i12', 'x9', 'p2', 'c5']}
1769488305.2747269,SENT,5aabd753-7f34-4620-a0ed-7b8212667008,0d64708c-c160-472d-84ef-10f7af4f10de,c5,c3,3394,?,p2,
1769488305.2748263,CREATED,16cd2f96-6bf4-4e6a-9db7-aa76577eb85a,e8be4cdc-a3a0-4347-a676-9f6a6b86e087,c5,c3,26,?,?,surb={'id': '999d27fa-6246-44ad-a341-240446e9373b', 'route': ['p3', 'e10', 'i1', 'x1', 'p2', 'c5']}
1769488305.2995267,SENT,32947779-e708-4005-b5b2-29547c642870,4f165638-9c4c-4509-9306-ec5b96e5d167,c5,c3,3376,?,p2,
1769488305.2996323,CREATED,a6eead9d-09d4-4691-880d-74585217939c,53c731fe-d8f2-4179-83c5-915f61c71e76,c5,c3,26,?,?,surb={'id': '59fdfffa-7671-4002-9622-471ba5312909', 'route': ['p3', 'e8', 'i2', 'x5', 'p2', 'c5']}
1769488305.3347876,RECEIVED,34ffa649-befb-4b5e-b6a4-96eb780095aa,0b076579-be0d-4c3f-abdd-f4870c3d95e8,c1,c5,27,p2,?,surb={'id': '1cab9120-f96a-42db-a397-1695a95b2cad', 'route': ['p2', 'e6', 'i5', 'x8', 'p1', 'c1']}
1769488305.44671,RECEIVED,947aff32-b03f-4be5-9434-71b0b05511d2,a985efbe-e8df-4ae8-a55c-7b0e8884f87f,c1,c5,27,p2,?,surb={'id': 'bff335e2-96ea-40c4-b7df-061cb1a0c6b9', 'route': ['p2', 'e12', 'i3', 'x4', 'p1', 'c1']}
1769488305.5632367,RECEIVED,d0fd214b-23e0-48ac-9d3e-b187133e333e,d9c2d975-89a3-4402-b3d0-3bb74a77d83e,c1,c5,26,p2,?,surb={'id': '0cfd5ec4-c365-43ee-8cf8-a5fddffac118', 'route': ['p2', 'e8', 'i12', 'x9', 'p1', 'c1']}
1769488305.5775027,SENT,6191c575-638b-492d-9277-8d3335d5c3ec,a6f785a6-8477-49f3-abd9-ece4fdda3142,c5,c3,3371,?,p2,
1769488305.5776508,CREATED,e91fe00b-987c-480d-a8ef-20dab6af6f35,f3aaf101-b4bd-4a5d-893b-9867bba93ea7,c5,c3,26,?,?,surb={'id': '011234ac-1ca7-452f-8888-cc6eb2255e61', 'route': ['p3', 'e1', 'i4', 'x2', 'p2', 'c5']}
1769488305.7265024,RECEIVED,1ced68ec-2b9c-43b8-8ee0-a307c5a77d35,030065a2-1692-4784-9460-d37194031089,c1,c5,27,p2,?,surb={'id': '9965c3f6-898a-45c4-891f-845b64b7fbc1', 'route': ['p2', 'e12', 'i10', 'x1', 'p1', 'c1']}
1769488305.8906476,RECEIVED,06d4a7ad-d25f-4993-8715-a29eedbe69d7,0dbd79ce-d15f-4583-8259-5d7898788c90,c1,c5,27,p2,?,surb={'id': '60b4157d-2bea-4ef8-bac8-c2a89d20e3dd', 'route': ['p2', 'e5', 'i7', 'x7', 'p1', 'c1']}
1769488305.8989522,SENT,6b526607-9dd0-4c00-8df1-178e2e522454,48402c0c-b594-4c90-9a83-d144f982a745,c5,c3,3400,?,p2,
1769488305.8991368,CREATED,8f4cea3e-a191-4b6c-840a-e69c8c0e01be,62ac0004-b1bc-44cb-954c-5d9c3e49d8c9,c5,c3,27,?,?,surb={'id': 'edc62ac2-09ec-405c-8ece-531e48f8c44d', 'route': ['p3', 'e12', 'i8', 'x7', 'p2', 'c5']}
1769488306.039278,SENT,e15454f9-3ed2-434d-a8f5-70107b21fe8b,c27e7338-7765-4ea7-bf7a-8ea519c3d6f5,c5,c3,3365,?,p2,
1769488306.03945,CREATED,2b4b14e4-814e-4e33-847b-0b903ef893d5,186dd490-b538-4a3e-add3-4bb45b809dcc,c5,c3,27,?,?,surb={'id': 'df71435f-8ead-49b9-81a5-66a98680448c', 'route': ['p3', 'e12', 'i8', 'x9', 'p2', 'c5']}
1769488306.170394,RECEIVED,a6893fd8-fa1c-4b51-9794-6c4be2499d46,924e1970-c6ad-4cc2-a1d9-7e0665630827,c1,c5,27,p2,?,surb={'id': 'df567553-dfa8-4ec2-bb3a-2b5c0cb9bd0d', 'route': ['p2', 'e4', 'i7', 'x6', 'p1', 'c1']}
