timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769498171.0766969,CREATED,ce00eaab-4666-4f53-8a4a-4d631038b5fc,e5840d52-9cd3-43de-84b3-1645ae1cd75f,c4,c1,27,?,?,surb={'id': 'b0cde988-4c0d-48ac-a418-de33f82eff4a', 'route': ['p1', 'e5', 'i11', 'x1', 'p1', 'c4']}
1769498171.147308,SENT,c4926e82-b428-410e-961b-45e1a894a0c9,91e94b59-4fdc-42ca-a777-005ab47e1240,c4,c1,3358,?,p1,
1769498171.1474578,CREATED,3ad00a44-d8f5-4ec5-83a9-561408639b38,5f0f0ed8-7610-49a3-85ed-33554de86ecb,c4,c1,27,?,?,surb={'id': '69a58ab5-87b1-4982-aa23-d65275cdf5d7', 'route': ['p1', 'e12', 'i8', 'x6', 'p1', 'c4']}
1769498171.4568298,RECEIVED,ca15df4e-aba9-443e-a7d8-ac0e4cbd6f48,cbe801ec-f6fc-4add-81ef-4bfc493103a1,c2,c4,27,p1,?,surb={'id': '17ac5e97-093e-4356-bf40-cb618e5155d4', 'route': ['p1', 'e7', 'i7', 'x12', 'p2', 'c2']}
1769498171.5218527,RECEIVED,801c5e46-9d44-4e94-b2b4-2b4205d2a84d,68db9465-11ec-4ccf-8db3-b05417dce8f3,c2,c4,27,p1,?,surb={'id': '39d5631e-6a60-4426-b3a9-37532f0cf66e', 'route': ['p1', 'e12', 'i3', 'x4', 'p2', 'c2']}
1769498171.5344296,RECEIVED,44516274-d759-4abf-8d0b-2b0df84ed11f,2c8a5db1-9a13-45a4-8b7f-39ddf7f22812,c3,c4,27,p1,?,surb={'id': 'ea97e979-6e3d-45e7-bd15-7c6d6d5bddf4', 'route': ['p1', 'e3', 'i2', 'x7', 'p3', 'c3']}
1769498171.678486,SENT,bae0b4f5-cf2d-4331-9dba-e1eff4761f5a,e527345b-ee98-492c-9853-aedd06a85108,c4,c1,3384,?,p1,
1769498171.6786287,CREATED,5c26690f-1072-4696-9d5e-27a71be53567,e019bb65-eb3a-43dd-8ca1-dc5c78b43cda,c4,c1,26,?,?,surb={'id': '769c706d-3081-4f02-8942-2ce6b74a0d45', 'route': ['p1', 'e10', 'i11', 'x7', 'p1', 'c4']}
1769498172.0063071,RECEIVED,84813ef6-5087-4e58-9f40-facae53ada2a,a3140ae8-dd79-4ee4-a22d-e7487e7e6201,c3,c4,27,p1,?,surb={'id': '4ac8183f-029b-4d3c-b9c5-8620d9b22fb3', 'route': ['p1', 'e1', 'i9', 'x3', 'p3', 'c3']}
1769498172.1144075,RECEIVED,526bdd79-7a3c-4303-9f47-6c1b82f57f1e,1b1b1351-c824-4dcd-b21c-f8b2cde6c0ef,c3,c4,27,p1,?,surb={'id': '38ca1466-ce8f-41df-80cf-b9064639dcde', 'route': ['p1', 'e2', 'i6', 'x2', 'p3', 'c3']}
1769498172.168431,SENT,26528856-fb49-4879-88fa-62cba4f0990e,c34e2945-4c2f-40a2-8989-7610d2f7968d,c4,c1,3383,?,p1,
1769498172.168573,CREATED,c117ef57-bfa0-48de-90b1-a8e1dfa50267,5e51a7f7-8d42-44bc-8f97-ac3fffe39735,c4,c1,27,?,?,surb={'id': '0e9d1912-9122-4775-b69f-bcc34c01e448', 'route': ['p1', 'e7', 'i9', 'x12', 'p1', 'c4']}
1769498172.217789,RECEIVED,24b978a5-28b0-40e9-988b-db96062cefac,b1605432-ba31-441f-862b-556beeccd549,c2,c4,27,p1,?,surb={'id': '7222dfee-695b-4aea-a7cb-1f8d20640d00', 'route': ['p1', 'e8', 'i12', 'x3', 'p2', 'c2']}
1769498172.4361632,SENT,89228a03-a0b7-4e6c-8b38-45c1e2c548c1,36d9802b-2bc0-4059-bfd4-6579261fbe47,c4,c1,3393,?,p1,
1769498172.4363127,CREATED,4f122999-8e60-4fff-8c65-36062b65f2cf,13df01f4-e39d-456f-9010-de7f3ff7bc4c,c4,c1,27,?,?,surb={'id': 'c8c61d8b-624e-4368-aa4e-a7a4f775eeb1', 'route': ['p1', 'e8', 'i10', 'x11', 'p1', 'c4']}
1769498172.5344157,RECEIVED,c5152f01-fb39-436f-9942-6b944d28876f,712a28bd-c037-40d1-9693-9a7bdb73900e,c3,c4,26,p1,?,surb={'id': '66bc2a41-4c36-404e-a164-7e0b457fbfb9', 'route': ['p1', 'e8', 'i11', 'x2', 'p3', 'c3']}
1769498172.7026653,SENT,fd8c66c3-eea1-412c-aa6a-cec2eba70d85,71b7f4bb-0eef-4c39-9eb6-11acfb3c7806,c4,c1,3391,?,p1,
1769498172.704838,RECEIVED,3065f96c-2f2c-40d3-8339-8b53942d9d4a,52a65506-ef8c-4197-b59b-dd0bc89b5b12,c2,c4,26,p1,?,surb={'id': '988647e8-c1cd-4d87-ae2b-232ff4788222', 'route': ['p1', 'e9', 'i6', 'x5', 'p2', 'c2']}
1769498172.705531,CREATED,53996e2e-f81a-4bcc-ac4b-758ea1eb4218,0997a696-040c-4f7e-a483-08fd92f27c73,c4,c1,27,?,?,surb={'id': '7e50655d-9dc5-4796-ba73-3c2fdb36f496', 'route': ['p1', 'e6', 'i7', 'x11', 'p1', 'c4']}
1769498172.839658,RECEIVED,08ce44a5-1b6e-4f90-9b5c-7c9f8170dec0,ffef96b3-e105-41ee-98cf-9258ac97fad3,c3,c4,27,p1,?,surb={'id': '56e2e8e1-a8ed-4f8f-9aea-2877220b8724', 'route': ['p1', 'e10', 'i8', 'x8', 'p3', 'c3']}
1769498173.3733482,SENT,4d63a50d-4502-4d80-af86-823b79b38a7f,f93a8771-5597-4f61-b3ca-15ba3f7b7ea0,c4,c1,3376,?,p1,
1769498173.3734956,CREATED,e8221633-635e-41a4-88b1-d5f25afc0608,065aa05f-b6ad-446e-b848-647ffa27b9f7,c4,c1,27,?,?,surb={'id': '8f8679ab-5f62-4d52-9acf-0d5d02cf1c88', 'route': ['p1', 'e6', 'i1', 'x6', 'p1', 'c4']}
1769498173.4191408,RECEIVED,ef1dab60-c808-4103-b486-4e0834de021a,d615ff7c-dd72-420c-bff3-b1d089db6486,c3,c4,26,p1,?,surb={'id': '75936c8b-fbc7-4f71-9219-ae9c922d6d3b', 'route': ['p1', 'e2', 'i4', 'x6', 'p3', 'c3']}
1769498173.6646261,RECEIVED,043f2eb1-4ef8-48b0-846f-a52a9a06934c,c0965b60-df21-49b2-b495-14d9a269f361,c3,c4,27,p1,?,surb={'id': 'd3a4da76-d85d-4933-945c-965912e8fbeb', 'route': ['p1', 'e8', 'i8', 'x4', 'p3', 'c3']}
1769498173.685206,SENT,21f38b1c-648a-4eab-bcf9-354d4b9cbf01,b25f0f62-dd19-4c25-ad45-af07f19d3e9c,c4,c1,3397,?,p1,
1769498173.6853542,CREATED,f8bc4fd2-4963-4c85-93b7-e703fb0a0a62,e18222d5-d8c1-423f-bb6d-6b5937937919,c4,c1,27,?,?,surb={'id': '8e94b84b-5a08-406f-9213-2f743a94daba', 'route': ['p1', 'e9', 'i10', 'x7', 'p1', 'c4']}
