timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733121.410909,RECEIVED,adfb7156-64aa-4775-ae7f-e208f29e438b,0e0ab48f-a5a6-49cc-ac7d-ce428780805f,c5,c4,27,p1,?,surb={'id': 'cc417880-40ea-4117-a674-cb4c56c90e38', 'route': ['p1', 'e9', 'i8', 'x10', 'p2', 'c5']}
1769733121.4392557,SENT,e971defc-870d-4d81-8a8c-36582577f601,520973b4-4043-4b3b-9433-8221400c528e,c4,c2,3396,?,p1,
1769733121.4394915,CREATED,e3fc2d45-9d81-467b-b0c6-28bc2a460687,5f951dbc-1efc-4055-bfa7-fa4cbc2a230d,c4,c2,27,?,?,surb={'id': 'c7a9e306-4686-4b4c-b63d-ce7cf0bb56f8', 'route': ['p2', 'e7', 'i8', 'x4', 'p1', 'c4']}
1769733121.4422126,RECEIVED,7c3112b6-3b06-4e57-af21-f2bea7cd78cd,973c101b-ca77-46d0-866d-ecf47befa166,c2,c4,27,p1,?,surb={'id': '6614bc51-c880-4bce-870f-bccdff9971ce', 'route': ['p1', 'e5', 'i11', 'x3', 'p2', 'c2']}
1769733121.4729345,RECEIVED,5407db52-14d0-468c-ae08-e5b65aa5d3c8,d743ed25-19ec-4cf5-9ab7-e498a16b5a4d,c2,c4,26,p1,?,surb={'id': '6226bffa-9041-4713-8e98-391cd55af8a3', 'route': ['p1', 'e7', 'i12', 'x12', 'p2', 'c2']}
1769733121.479093,SENT,b3f0d88f-c36c-493a-b526-a84b8652440a,b7a34a21-06e7-44ca-aa9e-25f20303a3ec,c4,c2,3371,?,p1,
1769733121.4793038,CREATED,3eaf14fa-51e7-42aa-8b35-24778c15f108,21848200-bcfa-43cb-a11e-ef02703e020c,c4,c2,26,?,?,surb={'id': 'ebae8be9-9901-41c8-bf5c-4dbd32706048', 'route': ['p2', 'e6', 'i3', 'x3', 'p1', 'c4']}
1769733121.5196524,SENT,58584ba0-01ae-4a35-bf55-b201be7222ef,78434abb-6c56-402e-823b-2d3560109e29,c4,c2,3373,?,p1,
1769733121.5197866,CREATED,c0e5cc8e-21ac-4e6f-8d9c-f13c0ffa5645,21848200-bcfa-43cb-a11e-ef02703e020c,c4,c2,26,?,?,surb={'id': 'ebae8be9-9901-41c8-bf5c-4dbd32706048', 'route': ['p2', 'e6', 'i3', 'x3', 'p1', 'c4']}
1769733122.2836232,RECEIVED,aed2b6c2-39b7-4a38-ab0a-84e69f850e5b,70a36c43-6413-47a1-b55e-1888c53a22d5,c5,c4,27,p1,?,surb={'id': 'bfa6e3da-6578-4715-961c-70f301c50ba4', 'route': ['p1', 'e7', 'i3', 'x6', 'p2', 'c5']}
1769733122.4076376,RECEIVED,37f674c6-7a96-4c6c-9aa3-e913f01642a0,2b740512-06a5-4b67-ac13-2ed8098732db,c2,c4,27,p1,?,surb={'id': 'e67170a8-3cf6-4502-866c-4bc24acbba13', 'route': ['p1', 'e12', 'i3', 'x2', 'p2', 'c2']}
1769733122.6771636,RECEIVED,0b46d292-98f1-49ec-947d-917ae43941c1,11d63dea-76df-4941-949d-233977d9e9c3,c5,c4,27,p1,?,surb={'id': '676600a6-a231-4a66-a404-2e2231792e10', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c5']}
1769733122.792859,RECEIVED,e2f74999-7d83-4a0d-8ae2-cd7827f295bc,400d383c-9a75-43e9-abba-31029f3922e3,c5,c4,27,p1,?,surb={'id': '38e5584b-d42f-49c7-82d2-66e8285cfcf6', 'route': ['p1', 'e1', 'i10', 'x4', 'p2', 'c5']}
1769733122.8484147,SENT,a2112bdb-d66f-4cbf-ab26-176fcc2e3df6,56a58394-cfe8-4683-9a2b-50656cc75aad,c4,c2,3401,?,p1,
1769733122.8485634,CREATED,56640e24-e942-4449-890f-5e1e3e74915c,2356f8fa-31f3-4ded-9a8f-05a78048296f,c4,c2,27,?,?,surb={'id': '5bb40b27-09d1-4b3a-8432-8b6a5fa57519', 'route': ['p2', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769733122.974633,RECEIVED,5df38d9f-d5e2-46bf-9113-55d504d9a562,11d63dea-76df-4941-949d-233977d9e9c3,c5,c4,27,p1,?,surb={'id': '676600a6-a231-4a66-a404-2e2231792e10', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c5']}
1769733123.4698122,RECEIVED,9809941d-b721-4d74-82bf-09819e4cb96a,a7a4e247-3edd-4286-9bda-3ae601242832,c5,c4,27,p1,?,surb={'id': '14dbf252-8941-4820-8c13-965ac1e989c4', 'route': ['p1', 'e9', 'i7', 'x5', 'p2', 'c5']}
1769733123.6834738,SENT,cd22aa91-262c-4547-9cf7-14748ecbc17b,6ec893a9-e077-4e7e-8fc9-99b30f5c81b8,c4,c2,3396,?,p1,
1769733123.683607,CREATED,69a98146-74dc-44fc-9624-79d0e1ff06f4,2356f8fa-31f3-4ded-9a8f-05a78048296f,c4,c2,27,?,?,surb={'id': '5bb40b27-09d1-4b3a-8432-8b6a5fa57519', 'route': ['p2', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769733123.7335856,RECEIVED,aeb76f70-16c0-44b0-a045-3d3b940302f8,5f7d3bd3-975d-4c3a-9ff4-a6200955d36d,c5,c4,27,p1,?,surb={'id': '785be62a-6d48-4296-a9c1-c13c4ddb991b', 'route': ['p1', 'e5', 'i10', 'x2', 'p2', 'c5']}
1769733123.8646176,SENT,8b944b92-3bfc-4bf5-92f6-47e868161b12,4c21d70c-3e6c-41c1-8c65-57b586928b50,c4,c2,3396,?,p1,
1769733123.8647535,CREATED,7eaf2e0f-f13a-4684-8ae4-8d28d4d119ac,e215e038-28c8-4105-ab06-b9742f858284,c4,c2,27,?,?,surb={'id': '81f8ecf9-ecb9-481f-b091-3e1956463f33', 'route': ['p2', 'e12', 'i8', 'x11', 'p1', 'c4']}
1769733124.0290265,SENT,801d71c2-3a78-4beb-b733-0b77b89eea9c,50dfa59a-8766-4062-8623-b893bc231438,c4,c2,3388,?,p1,
1769733124.0292273,CREATED,24982782-5c90-4bdb-9906-4af541f61463,e215e038-28c8-4105-ab06-b9742f858284,c4,c2,27,?,?,surb={'id': '81f8ecf9-ecb9-481f-b091-3e1956463f33', 'route': ['p2', 'e12', 'i8', 'x11', 'p1', 'c4']}
1769733124.097574,RECEIVED,e998c9ec-d3c6-42cc-8e78-2877fbd8e38d,2a7f45af-904e-4327-a51e-ddf02429afdf,c5,c4,27,p1,?,surb={'id': 'dd5ed855-85c6-41c9-8060-cef425381bc5', 'route': ['p1', 'e9', 'i8', 'x3', 'p2', 'c5']}
1769733124.2601979,SENT,cc9b0acf-3ac8-45d1-920f-8667569f0c20,09860848-ad8f-45a5-8bc8-4656cb045de5,c4,c2,3388,?,p1,
1769733124.2603498,CREATED,3aaf7410-f206-4ca8-8cd2-bddc88932728,d85ac057-c929-4596-953b-098cee68aa3b,c4,c2,27,?,?,surb={'id': 'e54b26cb-bb7d-4e62-8136-6b6df34b904d', 'route': ['p2', 'e4', 'i7', 'x8', 'p1', 'c4']}
1769733124.2873352,SENT,3409593c-8acf-476a-ba9c-c43b803f827d,4a7e531c-2fd4-43b2-84fc-39e0c8925b5f,c4,c2,3360,?,p1,
1769733124.2874832,CREATED,90d9d59a-ab31-4178-89dc-1013394761e4,d85ac057-c929-4596-953b-098cee68aa3b,c4,c2,27,?,?,surb={'id': 'e54b26cb-bb7d-4e62-8136-6b6df34b904d', 'route': ['p2', 'e4', 'i7', 'x8', 'p1', 'c4']}
