timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769487684.521217,CREATED,b3a9ebc1-6f23-491f-9225-6d26bc3a432d,5f138809-406b-475a-b5a2-c1e69a1918e0,c1,c5,27,?,?,surb={'id': 'ed0d9871-b780-469f-80ab-9aca2ee6ebea', 'route': ['p2', 'e10', 'i5', 'x10', 'p1', 'c1']}
1769487684.6592522,RECEIVED,d439b30d-4b85-4cbd-b5d7-80372d9b1064,cf971012-2af9-4675-bd6e-4fcbdf071efa,c2,c1,27,p1,?,surb={'id': '306d1bc2-ea25-426d-8e15-36d917a75d66', 'route': ['p1', 'e6', 'i2', 'x3', 'p2', 'c2']}
1769487684.8360355,RECEIVED,7cc008a3-4c64-40dd-83a5-effa20d86881,30538728-da83-4100-897c-72bab27c9567,c2,c1,27,p1,?,surb={'id': '3d5b67a4-c305-499b-ba51-8360b6f69fe4', 'route': ['p1', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769487685.112365,RECEIVED,320aa113-ebbc-4fb6-b8ac-74b9aef596c1,021ed26b-7308-4380-a2b9-2047371fb0db,c2,c1,27,p1,?,surb={'id': '9f1d81b7-15a3-444e-9785-cef6016718dc', 'route': ['p1', 'e9', 'i9', 'x6', 'p2', 'c2']}
1769487685.1443477,RECEIVED,c0b29759-24a0-4207-8b19-cb7e619cfc92,3b36a581-2e8a-4516-b10b-f68f0c8ef4af,c2,c1,27,p1,?,surb={'id': '30d46006-b9a5-4ccd-9d83-f157230062d1', 'route': ['p1', 'e5', 'i7', 'x5', 'p2', 'c2']}
1769487685.261528,SENT,c8f225e9-eb9f-4ae7-b794-6dcb9eaef8e7,31ae9c7f-03d1-4c85-84db-d55af7adb264,c1,c5,3371,?,p1,
1769487685.2616715,CREATED,0d89f46d-cda0-4222-8c1a-22608539c9a9,70305e39-0339-4d0f-80cc-52b39e5ae7a5,c1,c5,27,?,?,surb={'id': '64338610-33a3-4ac9-b50c-450bcdc8780d', 'route': ['p2', 'e5', 'i12', 'x6', 'p1', 'c1']}
1769487685.2909806,RECEIVED,0e6953ce-43f5-42c2-988b-6f4723a04e7d,18dd1851-2231-442c-9299-8fa6737e7935,c2,c1,27,p1,?,surb={'id': '271ac20f-dd81-46c4-ae4e-2062b16d95a1', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769487685.6805604,RECEIVED,2a58ba1c-9937-4c7d-9e95-a25223cf2a49,45f4d08b-1c43-498a-bdae-774664b035b3,c2,c1,27,p1,?,surb={'id': '92f2e6c5-eb5d-402b-9899-4c6c1e34357a', 'route': ['p1', 'e7', 'i11', 'x7', 'p2', 'c2']}
1769487685.7024398,SENT,e2df8401-9e3e-41ce-b7b3-bb9593c2f218,27d82ada-c699-467e-aa46-2c20e45c4485,c1,c5,3396,?,p1,
1769487685.7025838,CREATED,8f5485e4-22b5-4d3d-8ddd-c7a4e355bf32,0c500dea-b622-4f4e-87cf-a0398a133853,c1,c5,27,?,?,surb={'id': '4c99dee7-fe58-4df0-bd96-6a7d7cbc0529', 'route': ['p2', 'e10', 'i4', 'x11', 'p1', 'c1']}
1769487685.8231165,SENT,a275b2b4-d1a7-407a-becc-51361d244713,7284c566-a3e1-4b9f-be26-0da09e6b516b,c1,c5,3375,?,p1,
1769487685.8232656,CREATED,a7ac096a-9f2f-4561-8557-1eb2b1ed18d0,6b0f21ae-c52a-473b-a466-8cbbf9e16af9,c1,c5,27,?,?,surb={'id': '660ffea1-e17c-42fd-9cd6-f206757a9a77', 'route': ['p2', 'e1', 'i7', 'x10', 'p1', 'c1']}
1769487685.8398995,SENT,500e983c-23cc-447a-8209-0921e5db2cab,cc309917-c2b6-4413-8bbe-e1d39d1f1a3d,c1,c5,3384,?,p1,
1769487685.8400416,CREATED,8d37dd46-70f0-4b25-afc1-b9332a3d830f,5afc1c47-c3fc-46d6-a43f-42b0c9e76ca1,c1,c5,27,?,?,surb={'id': '77b1ff8f-05d9-4165-8f7a-352003b45a90', 'route': ['p2', 'e2', 'i4', 'x4', 'p1', 'c1']}
1769487686.102723,SENT,eeac672d-6dd0-46f8-8f53-46c7842fc861,0388b55c-f4b1-4297-bd83-b0a995a01173,c1,c5,3355,?,p1,
1769487686.1028845,CREATED,42ab45ae-5ad5-4139-9aac-5ba2c00a4982,8cfa1761-9893-4593-ba24-996bd9cb142a,c1,c5,27,?,?,surb={'id': '21729c7e-428c-42e7-b7e9-c2ce2310d332', 'route': ['p2', 'e2', 'i1', 'x3', 'p1', 'c1']}
1769487686.5576668,SENT,639c9fc5-d6d6-413d-b1e1-5c1ee90e6c11,04a0b77f-db56-408c-8023-b2d575f8ddd3,c1,c5,3383,?,p1,
