timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734975.646505,CREATED,fa4592bb-c4c0-4ad7-be0f-a26068b73263,a292a068-ff57-4020-9cdc-f35a9faad725,c2,c3,27,?,?,surb={'id': '4a972c45-7d98-4b4c-97f8-4c1c0619a479', 'route': ['p3', 'e3', 'i9', 'x6', 'p2', 'c2']}
1769734975.9342165,SENT,41813b19-0ae9-4048-9244-910454ed22c8,98e49a74-3fea-4809-b0bd-84c262106dd3,c2,c3,3384,?,p2,
1769734975.934345,CREATED,779b0e8c-2fdf-40ce-8105-e979a093e1a8,ab89fe28-67a8-48d8-a1a5-40a5f4518dfc,c2,c3,27,?,?,surb={'id': 'aedbb9ff-68db-47be-83fb-38182c220510', 'route': ['p3', 'e11', 'i7', 'x6', 'p2', 'c2']}
1769734976.010457,RECEIVED,5d97b12f-38b7-4658-997b-7d6543d6d587,535c47da-d5db-4955-967b-c56972353b0c,c3,c2,27,p2,?,surb={'id': '6503c73a-5637-4add-8abe-1c820ec5eff8', 'route': ['p2', 'e11', 'i2', 'x6', 'p3', 'c3']}
1769734976.5620027,RECEIVED,ce64530d-37a3-48d4-92c7-08996a9b0dcf,fa26ade5-263d-4671-aed7-7bd0f4fdbb74,c3,c2,26,p2,?,surb={'id': '6d0ed47c-452e-42f9-9cca-75b7a3b09e08', 'route': ['p2', 'e1', 'i9', 'x5', 'p3', 'c3']}
1769734976.6522894,RECEIVED,bb6c5586-3033-43b2-a4d8-e7119efaca37,842b78fd-d150-41af-9f86-d1f2f7a377e6,c3,c2,27,p2,?,surb={'id': '4495477b-5301-4d53-962b-303866b33a3b', 'route': ['p2', 'e7', 'i12', 'x11', 'p3', 'c3']}
1769734976.7371502,RECEIVED,510ac697-73b0-41da-9afb-f2eaf4815212,5bedd80a-66b8-4349-93b4-87982372b0b6,c3,c2,26,p2,?,surb={'id': '079b6955-2e9a-48c1-86ea-072f2b7216f1', 'route': ['p2', 'e1', 'i3', 'x5', 'p3', 'c3']}
1769734976.7580311,RECEIVED,05cf8516-0011-498a-adcb-f21f51a50fb5,31692950-b961-41d9-812f-4c16dfc82beb,c3,c2,27,p2,?,surb={'id': '60c6d7e9-686b-4d28-860c-4a347119bd0a', 'route': ['p2', 'e12', 'i3', 'x3', 'p3', 'c3']}
1769734976.9749014,RECEIVED,d6dada06-e2ac-4a86-865f-2d8f5f7b2ce7,82314b87-b3f3-4ce9-908e-8a8f20899fe7,c3,c2,26,p2,?,surb={'id': '872c3ff5-0987-4d1b-aaa4-806b4748d148', 'route': ['p2', 'e4', 'i12', 'x2', 'p3', 'c3']}
1769734977.2014623,SENT,1139d33e-a5f0-40b8-ae8d-3c193815261a,7cd6c42f-5c5b-46b3-8ee7-d452cbb43757,c2,c3,3380,?,p2,
1769734977.2015946,CREATED,4e37c134-3422-4ec4-addc-f10079af7469,d6389fcc-3f97-4774-97cf-67bb63f111df,c2,c3,26,?,?,surb={'id': '539e996f-97ef-430d-b897-40eeafb660d7', 'route': ['p3', 'e1', 'i7', 'x2', 'p2', 'c2']}
1769734977.5587175,SENT,1a8f518d-f12f-433a-99d2-fcdfbebd4907,14b25766-7032-4cc5-897f-2a79efe48b92,c2,c3,3385,?,p2,
1769734977.5588555,CREATED,8a6e35b2-1c43-4d3d-b5c7-62efda3959cc,24dcaf0e-c192-4545-ab3b-a67e909b2955,c2,c3,26,?,?,surb={'id': '3d70911c-dc06-4582-a1d5-8971638c67fb', 'route': ['p3', 'e11', 'i10', 'x11', 'p2', 'c2']}
1769734977.815781,RECEIVED,8d101c31-37bc-419e-831f-7c8db899f59f,f3818976-aef8-462e-a174-0e13bb47cf24,c3,c2,26,p2,?,surb={'id': '329559a3-224b-4c86-b4b2-7e18de134a74', 'route': ['p2', 'e8', 'i5', 'x3', 'p3', 'c3']}
1769734978.0934143,RECEIVED,9773a726-ab02-41df-b4c0-aa30e7fc7edd,778f3fc3-d574-4eac-b3cb-a7d4a828256d,c3,c2,27,p2,?,surb={'id': '58ab75aa-d849-4b39-9031-9c332072137f', 'route': ['p2', 'e2', 'i7', 'x11', 'p3', 'c3']}
