timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747926.4641702,RECEIVED,94439cbf-d102-4403-98dd-7a7a30aa77f5,29bc4e82-5128-49c3-96bd-4d1abd5880b7,c2,c1,27,p1,?,surb={'id': '95ae07a2-48b3-4076-8496-bf2784357829', 'route': ['p1', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769747926.6672244,RECEIVED,fa37fcaf-f119-4fa0-b136-01453478ba69,2a7cd72e-8bf0-4a1c-a111-4ae11e128591,c3,c1,27,p1,?,surb={'id': '48a24a48-ee7f-4590-812f-43939a5a5529', 'route': ['p1', 'e8', 'i4', 'x12', 'p3', 'c3']}
1769747926.7092044,RECEIVED,dddb081b-77b8-453c-8781-f1a46c59e052,b468c984-1285-4dc7-883f-1a99e8e2a1f6,c3,c1,27,p1,?,surb={'id': '05dd7e55-f6e6-4e04-9a1c-776f90317a6f', 'route': ['p1', 'e4', 'i2', 'x1', 'p3', 'c3']}
1769747926.8041987,SENT,37d3d120-6969-41b9-b2b2-ae48fc1ed688,f8fb7fea-f0d8-4506-b679-ea10c4cbd756,c1,c5,3361,?,p1,
1769747926.8043416,CREATED,317de846-abc6-49af-830e-cb49f65356bf,3e504c61-7051-4739-a694-c6cd2a5ee4ba,c1,c5,27,?,?,surb={'id': 'a6b35966-912c-433c-95d1-cfa141c1ee6e', 'route': ['p2', 'e6', 'i12', 'x7', 'p1', 'c1']}
1769747926.8094,RECEIVED,dd098525-0af6-4877-a24e-cbdd0b5dabe6,a8e23701-4184-43c7-b1b6-0b9a01d9d106,c2,c1,26,p1,?,surb={'id': 'e93a1552-4d4c-4033-92f2-2e1064f0596e', 'route': ['p1', 'e5', 'i10', 'x4', 'p2', 'c2']}
1769747926.9949565,SENT,4ceb440d-cc98-44ac-8bdf-de54176e1f15,8919b37f-42b5-42d6-8fbf-4289668b7386,c1,c5,3361,?,p1,
1769747926.995127,CREATED,6ff83ba5-3a34-44ff-bcaa-a3fcf5084936,6bb57964-7864-4d43-950e-0dff129a7a2b,c1,c5,27,?,?,surb={'id': '996330f1-8f03-4ac8-894d-b8679dc9b34a', 'route': ['p2', 'e11', 'i8', 'x2', 'p1', 'c1']}
1769747927.1913266,RECEIVED,2232dfb3-082c-4f5f-99ae-ee2d87d65cf3,b468c984-1285-4dc7-883f-1a99e8e2a1f6,c3,c1,27,p1,?,surb={'id': '05dd7e55-f6e6-4e04-9a1c-776f90317a6f', 'route': ['p1', 'e4', 'i2', 'x1', 'p3', 'c3']}
1769747927.2365935,RECEIVED,57d23f03-93d4-4b37-8192-3c068694878c,5541ad36-2da2-475c-95b2-ed7e15ab4d43,c3,c1,25,p1,?,surb={'id': 'c1cb73f8-0e2f-4276-8c9d-ae230e493b20', 'route': ['p1', 'e4', 'i10', 'x12', 'p3', 'c3']}
1769747927.300932,RECEIVED,638468aa-8577-4db9-b5d1-11f0badb8730,49335abe-141d-4941-9edd-999274ac0b31,c3,c1,27,p1,?,surb={'id': 'bcf2eb8d-6a7a-4760-b069-e5b2575b985b', 'route': ['p1', 'e9', 'i3', 'x9', 'p3', 'c3']}
1769747927.4147475,RECEIVED,fd4d8476-3fa6-4c3b-96bf-2b0489dd023f,2ebbca1c-cc14-4688-abd8-603b51d482e6,c3,c1,27,p1,?,surb={'id': '38d6d3d2-c4da-467f-8022-456926d7489e', 'route': ['p1', 'e2', 'i8', 'x3', 'p3', 'c3']}
1769747927.6623418,RECEIVED,d5e652a5-b359-4167-bc02-66eea9fc32aa,29bc4e82-5128-49c3-96bd-4d1abd5880b7,c2,c1,27,p1,?,surb={'id': '95ae07a2-48b3-4076-8496-bf2784357829', 'route': ['p1', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769747927.75795,SENT,7a089760-40dc-43b7-99ca-7ebd30d4d98f,c8362609-a7fe-4465-a49c-c26fdc3e69d3,c1,c5,3401,?,p1,
1769747927.7581246,CREATED,3421ba68-5537-498b-87f6-05ff29b66f36,6bb57964-7864-4d43-950e-0dff129a7a2b,c1,c5,27,?,?,surb={'id': '996330f1-8f03-4ac8-894d-b8679dc9b34a', 'route': ['p2', 'e11', 'i8', 'x2', 'p1', 'c1']}
