timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769468567.6487985,SENT,2bb31485-f2b5-4c1e-b89a-1c01dd006892,d8b030e1-ad62-4358-a425-9ba922f55d90,c1,c4,3379,?,p1,
1769468567.6496737,CREATED,a5bf1bd8-7ced-4c39-ae72-72a7c4573512,62e600bf-fa49-42fc-bf64-eda1225636a4,c1,c4,26,?,?,surb={'id': '081c7929-1f0e-4849-91a6-00408a45ba68', 'route': ['p1', 'e1', 'i4', 'x3', 'p1', 'c1']}
1769468567.7989726,RECEIVED,25e206a2-7a9b-4c86-be53-3dcb05dd954a,65fa60ea-1613-4481-90b5-d8b041bf9f8a,c3,c1,27,p1,?,surb={'id': '8f04efb3-fe91-4fc8-b523-9999eea8383d', 'route': ['p1', 'e12', 'i1', 'x12', 'p3', 'c3']}
1769468567.8104165,SENT,31cb5240-815c-4beb-b1ea-4bc0dc9dd72e,7989fc0a-df56-4d27-8e95-7ce070d5d361,c1,c4,3400,?,p1,
1769468567.8105679,CREATED,2000c262-eaa2-44cb-8856-750bf31ee6f6,5c839d07-9a7f-4cd0-b723-3edcdec6ff60,c1,c4,27,?,?,surb={'id': 'a228f284-313c-4d31-808b-1c9decbd65b5', 'route': ['p1', 'e10', 'i8', 'x10', 'p1', 'c1']}
1769468567.990438,RECEIVED,e54e043e-8c82-441e-a608-2d0988734989,f3d13638-7cbe-4714-a5e3-98840887a538,c3,c1,26,p1,?,surb={'id': '841246ed-c03f-425f-9bf4-6296c8faa593', 'route': ['p1', 'e1', 'i5', 'x5', 'p3', 'c3']}
1769468568.7013135,RECEIVED,64657e9a-4d8a-44c6-a708-bb932c9115c2,b51943d3-6e9b-4a3f-b491-e30002730240,c3,c1,25,p1,?,surb={'id': '34b4178d-dbb7-4837-8458-c948fb2102b7', 'route': ['p1', 'e4', 'i1', 'x9', 'p3', 'c3']}
1769468568.727435,SENT,460f30ad-e083-42ae-90e6-04a02a63bf21,a1a0668d-eea0-4da6-93dd-1d71f8fffd78,c1,c4,3387,?,p1,
1769468568.7275376,CREATED,fd3ba673-1343-4eef-b523-d2f1f17d3247,d0a79804-e123-455b-97a1-919b83996c28,c1,c4,27,?,?,surb={'id': '12201214-5e83-40aa-9ed6-01f91e3bc49a', 'route': ['p1', 'e10', 'i12', 'x8', 'p1', 'c1']}
1769468568.9411087,SENT,aa141cd8-38a6-467c-a934-ae240bcad24e,561c8e79-2935-4ea2-960a-46018319cd08,c1,c4,3391,?,p1,
1769468568.9412596,CREATED,64a7ef97-992f-4866-9cf3-782089880b4a,ad99baf4-3bf6-4c1a-974a-33404c43d2ee,c1,c4,27,?,?,surb={'id': '96766d3b-b151-44fa-8a14-e0747d226759', 'route': ['p1', 'e11', 'i1', 'x10', 'p1', 'c1']}
1769468568.990459,RECEIVED,8d7f7a21-8f4d-4ebe-8141-0d2ac49a3fec,d1acf3f6-ea28-4f9d-aec2-a524a55e2aa8,c3,c1,27,p1,?,surb={'id': '96467e03-760b-4db7-9afd-3bd3ff9bad3e', 'route': ['p1', 'e4', 'i4', 'x6', 'p3', 'c3']}
