timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453760.2464447,CREATED,b1422806-3662-4f1b-ac78-982e02714b9d,1c5d4d3f-27c8-4cd8-bbe6-7662b3777f51,c4,c1,27,?,?,surb={'id': '0e8b25b0-3f9d-49e9-9608-e7f29af515bc', 'route': ['p1', 'e2', 'i12', 'x2', 'p1', 'c4']}
1769453760.620753,SENT,0901204d-a580-4e4f-aac2-12f5e2c510e1,b5a67759-b35f-4c8f-9b13-e9cd50280f43,c4,c1,3359,?,p1,
1769453760.6209006,CREATED,1aebb9c3-c2d4-4c08-865b-892960f6fe02,f7255ec1-8e5f-4e26-a6ae-e62d63b8b1af,c4,c1,26,?,?,surb={'id': '13f30168-b7db-4b20-a33b-d6bc2f06edb7', 'route': ['p1', 'e10', 'i2', 'x11', 'p1', 'c4']}
1769453760.645658,SENT,860c04a6-eaba-4dbf-9f8c-9d205b6ddfcf,aece5875-d7dd-47b8-90ba-1c631728ed85,c4,c1,3396,?,p1,
1769453760.6458051,CREATED,4ad592f6-1a41-4eeb-a12b-855bfe166308,2d0598e0-2ce6-46ca-959b-b96c7b548eb2,c4,c1,27,?,?,surb={'id': 'c4e9bdc5-dfa1-43e6-842f-37c8ebea146c', 'route': ['p1', 'e12', 'i3', 'x5', 'p1', 'c4']}
1769453760.7824218,SENT,2f8ed74e-d131-4e28-b05d-982ce57dda39,5fce1311-1648-4d8d-b647-8e39fd3d9eda,c4,c1,3380,?,p1,
1769453760.782568,CREATED,411f4c1b-1c98-4e94-9839-64449ef4b419,14782cb2-ab91-4407-8812-7dd8e307dfb3,c4,c1,26,?,?,surb={'id': '233a803c-ae13-4880-ac89-bd4e9b7c9a9c', 'route': ['p1', 'e12', 'i12', 'x5', 'p1', 'c4']}
1769453761.3224053,SENT,e8a4cc77-5e31-4e5e-9969-8fbef455429b,5e33860c-d334-4f3a-9a7e-38787f48479b,c4,c1,3377,?,p1,
1769453761.322898,CREATED,f82da120-fb17-4c2f-bd18-db5cfe7017bc,0fcd96d5-a563-4c90-84cf-98cc4ed9eb91,c4,c1,26,?,?,surb={'id': '9b606b87-bcc5-47fa-a8f0-cbbd236635b7', 'route': ['p1', 'e4', 'i1', 'x2', 'p1', 'c4']}
1769453761.7072046,SENT,8215593a-3a2f-4c8e-9b47-62ad266108a2,ca543ae2-87a9-43f6-8509-e22160e93857,c4,c1,3371,?,p1,
1769453761.70737,CREATED,d06f0aaa-52bb-42e6-8f05-1c916f7dbaa1,118ca288-b323-44a0-aa9c-4f7c2186af26,c4,c1,26,?,?,surb={'id': '2b8cf93b-f1af-47bf-99b8-56028b785621', 'route': ['p1', 'e12', 'i12', 'x8', 'p1', 'c4']}
1769453762.0223675,RECEIVED,c6119b19-7f98-4eae-9569-b249a98e265f,fb8262a8-0489-4ab5-ad35-e2a6fb4287cf,c2,c4,27,p1,?,surb={'id': '881ebcc4-dc6d-4089-9f7d-f4b835fba595', 'route': ['p1', 'e7', 'i10', 'x7', 'p2', 'c2']}
1769453762.033657,SENT,c4c56129-043f-42f7-a0f1-199d2386ae25,5c8e4a7b-e333-43f4-971e-0ffa3caa2f27,c4,c1,3355,?,p1,
1769453762.0337949,CREATED,4bfc2bcf-0709-49fb-b1bc-f400be05a12b,5ec7a607-4bff-4a3f-a3f7-337f88942747,c4,c1,25,?,?,surb={'id': 'bddc471c-7191-4065-b299-308818abbca4', 'route': ['p1', 'e4', 'i6', 'x8', 'p1', 'c4']}
1769453762.112304,SENT,79b64c4f-d312-4f8d-84c0-59920c22c59c,e597b949-5694-4e76-a06d-04cf25a5aa72,c4,c1,3399,?,p1,
1769453762.1124587,CREATED,5fed9b48-db84-46f2-87fd-b035c92c7c3c,01cf896c-7c16-4c9d-b99d-c59df870d315,c4,c1,27,?,?,surb={'id': '6924937e-155c-4ff3-bd1e-f902d43dbde7', 'route': ['p1', 'e4', 'i9', 'x8', 'p1', 'c4']}
1769453762.1541908,RECEIVED,a0de88db-0f4d-481b-807d-774fc6123816,ccd1602a-23d6-4097-8bae-efe6dcb3f118,c2,c4,27,p1,?,surb={'id': 'fcc1fa64-b7e0-40e9-bfb3-7afe4fb0cf5c', 'route': ['p1', 'e2', 'i11', 'x5', 'p2', 'c2']}
1769453762.3244388,RECEIVED,c92e7a1e-948c-4961-970d-f064d787f801,dd506243-6513-4773-be5f-11cd6f63af79,c2,c4,27,p1,?,surb={'id': '9f5139b0-40b3-4a8b-a10c-e4c748dbb86e', 'route': ['p1', 'e7', 'i9', 'x8', 'p2', 'c2']}
1769453762.4240093,RECEIVED,0a86ff93-4742-4e86-bf60-4c741241bfad,e67587d9-58af-4f17-9a56-95d8e069d858,c2,c4,27,p1,?,surb={'id': '71c82117-a7d4-4543-a73e-7250c14d1b47', 'route': ['p1', 'e10', 'i11', 'x2', 'p2', 'c2']}
1769453762.4581687,RECEIVED,2a2af96e-cd09-4299-85b0-f062d3d6ee99,aed3dddd-90c8-4d56-8438-9856e7574dd1,c2,c4,27,p1,?,surb={'id': 'aa624b21-4dab-4c30-95d0-fc5e29543e8f', 'route': ['p1', 'e12', 'i6', 'x6', 'p2', 'c2']}
1769453762.528044,RECEIVED,2cf04e20-9b2e-4e26-b65e-2994a0e84f2a,ab40de57-2dad-446c-bda2-9b86da14131a,c2,c4,27,p1,?,surb={'id': 'c0cf06ab-9d25-4c04-b5a9-6a0eb30943c0', 'route': ['p1', 'e12', 'i2', 'x9', 'p2', 'c2']}
1769453762.5326436,SENT,b2cb13e2-0f57-4359-a866-f9a6c639d5d8,d73c68e1-a81d-4662-adff-cf1c11e702b2,c4,c1,3366,?,p1,
1769453762.532869,CREATED,a112d616-0215-4ec3-b14c-34438309553e,a1fd9c46-9f1a-4c19-a00f-aa9a4ae0375a,c4,c1,27,?,?,surb={'id': 'e7ad6055-bda7-4e04-8aea-672ff1817554', 'route': ['p1', 'e3', 'i2', 'x7', 'p1', 'c4']}
1769453762.6863885,SENT,78077191-02f0-43e1-a2a3-fb1be90438b5,ee0c1963-af5c-4c8c-97c5-5879fa8ade51,c4,c1,3400,?,p1,
