timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769394432.7797348,CREATED,e6da8537-e62c-4e0f-b945-768f6533e3af,5f0d531c-daf6-4bbb-974c-54ebad5b3b8a,c4,c2,27,?,?,surb={'id': 'cc601cd8-b677-4639-9436-5240854c44cb', 'route': ['p2', 'e6', 'i7', 'x8', 'p1', 'c4']}
1769394433.1058478,SENT,71d6d211-2f7e-4182-962b-bb2ab3c94076,12aa8770-f90f-4832-9aac-5f2e48d5ab2e,c4,c2,3389,?,p1,
1769394433.1060169,CREATED,0bbf17f3-58cd-415e-a840-f5f5a795df04,9f0a2d9f-38dd-4c17-b46d-8a0ae7f960d2,c4,c2,27,?,?,surb={'id': 'b56b10d7-4bc0-4f54-b680-3b7ec26fa352', 'route': ['p2', 'e7', 'i6', 'x6', 'p1', 'c4']}
1769394433.1324337,SENT,474eaba4-7cf2-4fe6-9ad0-54c51a91d10f,b7a8255a-2dd3-40b2-8ebf-ee38e6477abc,c4,c2,3360,?,p1,
1769394433.132584,CREATED,7b281299-23dd-4004-a275-0a7bcae44a31,5d6286ab-dbaf-4ff0-a204-8408ae29310e,c4,c2,27,?,?,surb={'id': '6dc89b96-26b2-4a74-a78f-cc48b4ced0a6', 'route': ['p2', 'e9', 'i4', 'x5', 'p1', 'c4']}
1769394433.3614562,RECEIVED,19068e2c-8735-409c-a6e8-c812032213a6,ba24ef84-b23e-46a8-88d2-d56e7e3634e3,c5,c4,27,p1,?,surb={'id': '43403310-4939-4f11-929c-d0896af42f95', 'route': ['p1', 'e9', 'i1', 'x5', 'p2', 'c5']}
1769394433.642724,SENT,2c7af6df-0253-4ed5-8100-41cb05764f74,510f4d59-6406-409e-99a0-3bfe657abfdb,c4,c2,3372,?,p1,
1769394433.642869,CREATED,9f693800-5a0b-400f-a7ad-f03e7bb198aa,7692480c-f678-4a08-90f4-2d896bec0aa8,c4,c2,27,?,?,surb={'id': '3a4af7db-dc8c-4e8d-8a64-c3b528959e8b', 'route': ['p2', 'e6', 'i5', 'x7', 'p1', 'c4']}
1769394433.6991751,RECEIVED,96c85ef8-f1f5-40ca-b40b-a66aa99d8acf,2dc3c08c-1771-482b-9f2f-24c7358c47e4,c5,c4,27,p1,?,surb={'id': '54e08750-d1f2-442b-a0e8-70c7fe4daa37', 'route': ['p1', 'e3', 'i8', 'x11', 'p2', 'c5']}
1769394433.8223286,RECEIVED,cf951978-c150-4cb0-a326-6325b6c44fb4,ba1aa1b7-fb97-4a0e-abc0-52aa380723ab,c5,c4,27,p1,?,surb={'id': 'df3f8e14-6af2-41eb-a9f9-950a4b6da7d3', 'route': ['p1', 'e1', 'i10', 'x7', 'p2', 'c5']}
1769394434.1886322,RECEIVED,1b50f458-dcc2-4c00-b773-13b65cd5fe8e,76bca8c0-33a4-4e5e-b988-cfe403c7f8bc,c5,c4,27,p1,?,surb={'id': '9158133d-57ec-4467-9792-cdda24234d79', 'route': ['p1', 'e2', 'i8', 'x7', 'p2', 'c5']}
