timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495091.353139,CREATED,11f9c07d-087a-456b-bcbb-8361ead107be,4a062962-960d-4af7-83b3-e137f26fa09e,c3,c4,27,?,?,surb={'id': '489e3d5a-3db9-4f80-acc7-fda45bd4fe3f', 'route': ['p1', 'e1', 'i5', 'x12', 'p3', 'c3']}
1769495091.4811902,SENT,8fcc74be-06b7-42cc-9d9e-898c8c766518,d0e8af40-2132-4336-9299-2a8a5fe0dbf1,c3,c4,3376,?,p3,
1769495091.481343,CREATED,382d0670-6d89-4feb-85d8-6efebaddc2c1,e45fb9f0-0108-42b7-9076-0c3be7f5b644,c3,c4,26,?,?,surb={'id': '3750266e-1700-44ad-b8bc-5c2a70a52868', 'route': ['p1', 'e7', 'i3', 'x5', 'p3', 'c3']}
1769495091.5097759,RECEIVED,bc632705-7396-4ab9-8b80-4c9c47443f87,ba02e6d5-91d5-4893-8f0e-70133ca6b1f1,c2,c3,27,p3,?,surb={'id': '7d992276-cc1c-4e04-b963-066cbd32c46e', 'route': ['p3', 'e2', 'i10', 'x8', 'p2', 'c2']}
1769495091.7799218,RECEIVED,7af74cda-ab7d-49fa-9fd2-3dcde9e639f0,d9affef2-fada-4702-91f7-87ba851710fc,c2,c3,27,p3,?,surb={'id': '0741d65d-c572-4b51-a58f-a90b033f5333', 'route': ['p3', 'e3', 'i9', 'x5', 'p2', 'c2']}
1769495092.1096663,SENT,0b484ef2-5996-447c-b4ac-c37866ab1134,459383c4-e95d-409d-bc86-09e0d13b8e2c,c3,DROP,2028,?,p3,
1769495092.109758,CREATED,004e19dd-ba7b-4d06-b6b7-c27593ccaa04,efd3cb47-dad1-464f-9113-5de2a6621020,c3,DROP,26,?,?,
1769495092.2488203,SENT,cdea94dc-ff9f-4afb-bfa1-0ad34b56b04a,8ce67360-2aca-41e8-a095-ae487d6a8937,c3,c4,3380,?,p3,
1769495092.2489014,CREATED,b282acc0-4301-4933-b8aa-9e0158d581ae,4dd9e709-3258-4b1a-89f8-74f4f76b186d,c3,c4,26,?,?,surb={'id': '66369c59-9747-4e0e-a0ae-26e1624e8405', 'route': ['p1', 'e1', 'i11', 'x4', 'p3', 'c3']}
1769495092.3564372,RECEIVED,4b003aa0-7062-47a2-949c-29a03feef2eb,14d106cd-7502-4035-a505-7c56020b2de6,c2,c3,27,p3,?,surb={'id': '544a9a9c-ae71-46a6-866e-0d853de21a7f', 'route': ['p3', 'e4', 'i9', 'x6', 'p2', 'c2']}
1769495092.3811686,RECEIVED,19b07380-a7a4-4607-8eea-7197eaebf39c,1e2a8410-3756-4559-94e9-f8626c14566c,c4,c3,27,p3,?,surb={'id': '018cccae-a37a-4a74-bf1b-574fb35bbbd6', 'route': ['p3', 'e12', 'i9', 'x10', 'p1', 'c4']}
1769495092.5232046,SENT,67fa70d5-82ec-4db9-9279-8c802d7e2509,e16b59f4-3894-45ca-b3af-3f34f5b9de39,c3,c4,3360,?,p3,
