timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769742375.1725051,RECEIVED,85fc020a-89f1-4f10-bd68-563861469937,25d82c8a-4ab7-4d40-9a72-b11eef35134b,c1,c5,27,p2,?,surb={'id': 'a25101d7-07fa-4c5c-8a31-2a7602ed992c', 'route': ['p2', 'e6', 'i6', 'x11', 'p1', 'c1']}
1769742375.2483506,SENT,045b76b9-a20a-41a0-a284-ce3f5aa5beaf,5142f555-767d-4055-bd41-9ca407c27b14,c5,c3,3379,?,p2,
1769742375.2484815,CREATED,d0c3e28b-1e17-46bf-8c48-94dee88ca6cb,1cc8b149-1079-449f-a86e-f813be36e01b,c5,c3,27,?,?,surb={'id': 'e743c245-44af-4edd-9ebf-6ca6d862e6bd', 'route': ['p3', 'e2', 'i10', 'x3', 'p2', 'c5']}
1769742375.2837844,RECEIVED,ed84cf7d-1085-4de3-8b52-87357103b8ff,112bfa06-b097-4061-8e1f-4a82b895e4c7,c2,c5,27,p2,?,surb={'id': '3ac2fb18-b52e-4f34-a525-b1ef4574c564', 'route': ['p2', 'e10', 'i2', 'x6', 'p2', 'c2']}
1769742375.3816018,SENT,8a5abb77-96b9-40d7-899c-af326aae6eff,857ad9b6-28b0-435e-ad6f-381e34a8e66f,c5,c3,3364,?,p2,
1769742375.3817346,CREATED,79ba4ea4-1fb2-413b-b4f1-994928698a2d,4c1f3171-5fb4-4a3c-89c2-122d816e8f33,c5,c3,27,?,?,surb={'id': '2eb7fdc8-220c-4098-b75f-6ceba80f1a8d', 'route': ['p3', 'e5', 'i5', 'x5', 'p2', 'c5']}
1769742375.4622543,RECEIVED,cf7ee7dd-c06e-47af-8e1e-349b7f9ec39b,dab9595a-424a-4b8e-9f19-f9bc3a40a595,c2,c5,27,p2,?,surb={'id': '04bb3682-31c6-48b3-a326-c2f2a608cc56', 'route': ['p2', 'e8', 'i8', 'x3', 'p2', 'c2']}
1769742375.5099301,RECEIVED,3c6b2c1a-f920-4d70-aee6-2a56cd175280,a1d4ba4e-de25-482c-b322-513d895fa291,c2,c5,26,p2,?,surb={'id': '01d37d6a-1bad-48b4-9b9d-d1993fd44653', 'route': ['p2', 'e12', 'i5', 'x4', 'p2', 'c2']}
1769742375.5435956,SENT,0916c77b-255e-4371-a09b-c069277e588b,deeba5f1-d08a-4472-9ec4-7d957b524e73,c5,c3,3388,?,p2,
1769742375.5437293,CREATED,47f6be48-8417-4925-9c36-189bd8e97c34,e2077c43-0674-426e-9f5e-3feb97ebfd24,c5,c3,27,?,?,surb={'id': '129d2f8b-89e1-4180-bdac-cddc8467e2bd', 'route': ['p3', 'e3', 'i3', 'x11', 'p2', 'c5']}
1769742375.678236,SENT,57ba5b6f-c5b6-4435-ab87-16330a9f2662,e9178a5d-8c85-4bfa-953e-25600a101e5f,c5,c3,3411,?,p2,
1769742375.6783679,CREATED,63f27d51-fa7a-43f2-92df-7fcf9f5f94b8,8526232f-85f0-4bc7-b674-d9aaeaa63e83,c5,c3,27,?,?,surb={'id': 'dc67ba49-7e8a-4914-a154-bb8fa0f1d372', 'route': ['p3', 'e9', 'i4', 'x10', 'p2', 'c5']}
1769742375.705328,SENT,966b5566-7842-42c0-bec6-a1d85ac58c5f,1a5b143e-e1af-4120-913c-d193856c15d2,c5,c3,3386,?,p2,
1769742375.7054634,CREATED,2ecb5c9f-c3a1-4180-afff-233eca4cf459,fcec4948-5fbb-4bdb-be4c-762a23e76cb9,c5,c3,27,?,?,surb={'id': '3ef0b165-cc27-422f-8423-aa208e35c143', 'route': ['p3', 'e12', 'i10', 'x6', 'p2', 'c5']}
1769742375.794281,RECEIVED,ba661fe9-f7c2-47e7-b91f-9da1300df3b2,74d1dcae-56bb-483c-8d74-a72463c1afd4,c1,c5,27,p2,?,surb={'id': 'a95feec9-cab8-4a50-b3a4-de6d1826e14c', 'route': ['p2', 'e2', 'i7', 'x11', 'p1', 'c1']}
1769742375.937269,SENT,95adaff9-ca63-45f6-9898-bdfb247d50b3,e4bc2bea-7967-4a75-b902-1e09ddafe661,c5,c3,3387,?,p2,
1769742375.9373598,CREATED,287f379c-51b7-485c-b691-66b638d9838f,156fbbc4-0fd4-4247-ada0-2486b462196d,c5,c3,26,?,?,surb={'id': '927fbbf9-b4b7-47cb-a834-e0d4fff28475', 'route': ['p3', 'e4', 'i5', 'x10', 'p2', 'c5']}
1769742376.065483,SENT,57d83481-5442-4954-9b4a-ae46f7e18a94,1103784a-c397-4ac9-ac39-bdd5d3ac9cc1,c5,c3,3392,?,p2,
