timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755942.8846335,CREATED,b4adef2b-c73a-4ffe-bd90-26928db2bc51,e88862da-9573-4bb2-a4a9-df2f8a59278d,c2,c4,27,?,?,surb={'id': 'd17c5d41-36ae-4d0f-ae1f-1dbf3dd80fe9', 'route': ['p1', 'e8', 'i4', 'x4', 'p2', 'c2']}
1769755942.8988712,RECEIVED,7b8ed4d0-32e6-4fb4-a860-f3bb23d59c45,84038c48-2048-4678-bf20-42a6f7bceebc,c4,c2,27,p2,?,surb={'id': 'a5d05f6d-09a8-4aac-9c2e-07f52bc34c37', 'route': ['p2', 'e11', 'i2', 'x9', 'p1', 'c4']}
1769755942.9275818,RECEIVED,39653abd-45fd-4c71-8bc3-3ba012889dcf,bdad89e9-0d3b-4f0a-be46-6bdc3237bd17,c3,c2,26,p2,?,surb={'id': 'ad2f1b80-f60f-4e30-8863-4add2360e420', 'route': ['p2', 'e7', 'i10', 'x10', 'p3', 'c3']}
1769755942.9403124,SENT,30f655f7-70cd-4cc9-8485-dfb2c3b27d10,02813070-5c99-44ef-98c1-f05e348e56cd,c2,c4,3371,?,p2,
1769755942.9404883,CREATED,419490b6-a89f-477a-b4b3-c8416dceffbc,71be112e-30b7-403a-90cb-348f5e050323,c2,c4,26,?,?,surb={'id': 'fddb37cc-9ab3-4ea1-9699-09577c02367b', 'route': ['p1', 'e10', 'i5', 'x1', 'p2', 'c2']}
1769755943.265191,SENT,ad1fc32d-b4e2-410f-b7f5-e81c725ad828,29432472-0c3c-47af-946a-d977e80abc3e,c2,c4,3391,?,p2,
1769755943.2653222,CREATED,7d43f06f-dd63-4683-89eb-5ef051552a4b,c5cd6061-eaba-4c93-a941-47b5dc4d28c1,c2,c4,27,?,?,surb={'id': 'f949064a-c78d-44e5-b29c-df5b96732357', 'route': ['p1', 'e12', 'i9', 'x6', 'p2', 'c2']}
1769755943.4218476,SENT,18f0a903-6ea0-48e3-88a8-150c06c6152b,31d80578-439d-4c6a-b28c-62fd92f58939,c2,c4,3388,?,p2,
1769755943.4219792,CREATED,74d5b88f-9ef3-478f-8f88-a025ef20893d,e138367d-809f-4801-9d96-01bcffea8f41,c2,c4,27,?,?,surb={'id': 'b29925c1-aec3-4bf1-a755-3fa8c727590b', 'route': ['p1', 'e12', 'i5', 'x8', 'p2', 'c2']}
1769755943.545843,RECEIVED,dd0f7f7c-16b8-470d-b365-1581350c5cd2,f708217b-d994-4e34-8243-762c326a78d7,c3,c2,27,p2,?,surb={'id': '0b2ca402-9973-489b-9467-0396248b5716', 'route': ['p2', 'e1', 'i10', 'x11', 'p3', 'c3']}
