timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760266.536841,CREATED,f24a2d3e-d7d9-45ba-a826-4b336873eadc,8976cacd-515a-428e-a5d7-c9faa556741d,c5,c4,27,?,?,surb={'id': 'ea469396-d275-440a-80d9-f0d78b64c6d5', 'route': ['p1', 'e10', 'i1', 'x5', 'p2', 'c5']}
1769760266.66391,SENT,5959830f-52ad-4499-9a83-cb1eed5ce3d7,af65e9a6-5725-4873-b18e-58124732cc29,c5,c4,3375,?,p2,
1769760266.6642914,CREATED,a3321983-7911-4aa1-a3ee-caea3b2baa53,899310ce-3f0d-49f1-bdfe-ab0ca443ec0f,c5,c4,27,?,?,surb={'id': 'e0ea4d23-2aff-492a-a893-601a2264f0d9', 'route': ['p1', 'e5', 'i2', 'x5', 'p2', 'c5']}
1769760266.7894118,SENT,ef70154a-8170-43a2-b5be-6a852c738282,5423e569-6344-4310-94a6-2696f0e7fb35,c5,c4,3385,?,p2,
1769760266.7895477,CREATED,7123a3fa-04d2-42cf-9799-799de9345f3a,fab809b2-50c1-4479-8884-cfe6684db447,c5,c4,27,?,?,surb={'id': '07f73efa-a132-48a6-88d8-9c554c8ddd0f', 'route': ['p1', 'e9', 'i2', 'x6', 'p2', 'c5']}
1769760266.8996754,SENT,bef111a7-6055-483d-94b0-4fa52187381f,0bf81c38-ba8e-40da-a3bc-d670a038b1b2,c5,c4,3372,?,p2,
1769760266.8998065,CREATED,561ead5d-1161-4d19-b080-4672fe6ec21f,19017ec3-27d4-4cc7-85b6-e94521d6a41c,c5,c4,26,?,?,surb={'id': '6ba95706-a6d0-488f-aa56-8517c34810ad', 'route': ['p1', 'e5', 'i1', 'x10', 'p2', 'c5']}
1769760267.0240316,SENT,cbe87d7c-9789-4528-aaa8-a8b681d4788d,baa21dc4-33db-4c5f-91d1-c44b2cc26f63,c5,c4,3383,?,p2,
1769760267.0241923,CREATED,e8ebf172-199f-4a82-8bae-f2dbda4078e6,7b8a8ff2-c47f-49ed-9004-26f5a2af5392,c5,c4,26,?,?,surb={'id': 'bb4f2deb-006f-4fb0-84d1-8d958ba3d64f', 'route': ['p1', 'e5', 'i4', 'x6', 'p2', 'c5']}
1769760267.3628383,RECEIVED,8004a5d1-0d54-4658-91f9-1f24caa4b74f,b56d9a7e-7330-4516-bb2d-4a3e1cd0f1aa,c1,c5,27,p2,?,surb={'id': 'c3f68536-fb4c-4c45-bf6a-f0087df52e38', 'route': ['p2', 'e12', 'i6', 'x7', 'p1', 'c1']}
1769760267.36862,SENT,4a7bf207-ebae-4a52-b513-4ad0cdcf9526,c4420059-9549-499c-9a1f-46799d747625,c5,c4,3379,?,p2,
