timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760261.5784025,CREATED,88e33eba-900c-41ab-b2f1-2009a5f99b76,f753c27c-cdb3-456b-9e2f-b71066b71686,c1,c5,27,?,?,surb={'id': '22f37126-f1fe-41ec-ada5-b6a1db1d5cd9', 'route': ['p2', 'e3', 'i10', 'x3', 'p1', 'c1']}
1769760261.8498907,RECEIVED,559322d0-9b85-4fb0-9774-22fd44895bc5,66499e4a-e11e-4569-ba38-22e4351b2c70,c4,c1,27,p1,?,surb={'id': '1d89ff19-45af-45ba-818c-33fef7283957', 'route': ['p1', 'e6', 'i6', 'x5', 'p1', 'c4']}
1769760262.1287427,SENT,05f9d907-be76-42cc-91af-3bf7312b6d37,e3554e31-5d34-486e-8eb4-d7645356dc16,c1,c5,3371,?,p1,
1769760262.1288905,CREATED,63af815e-89cb-4287-8635-7c69e0553251,72180729-dda2-4923-80a6-acd7ee2d962e,c1,c5,26,?,?,surb={'id': '08032002-42a8-4db3-b01b-bab8938ccaae', 'route': ['p2', 'e11', 'i3', 'x9', 'p1', 'c1']}
1769760262.1463478,RECEIVED,1dc715c8-4ec6-4736-9ca5-e3d77a740a62,c6be2f43-887e-485d-81b4-578ae9855a50,c3,c1,27,p1,?,surb={'id': '1942f536-b968-4c54-aa65-6ddf5b14cbbf', 'route': ['p1', 'e5', 'i4', 'x8', 'p3', 'c3']}
1769760262.2222009,RECEIVED,157495aa-7f5b-4854-8b09-038526c454d7,3f592c5b-a4e7-459c-8368-2cf84d9ee459,c3,c1,27,p1,?,surb={'id': '2a3143a2-9ac2-4ea2-b393-aa4f4ab0b2f8', 'route': ['p1', 'e1', 'i10', 'x1', 'p3', 'c3']}
1769760262.24145,SENT,694fa291-7712-4a64-9601-42e3ed511b56,88d36ada-a7c2-424f-9aa2-b957525a45d6,c1,c5,3392,?,p1,
1769760262.2415822,CREATED,b0d201ea-a1bc-4fa7-9434-0b421954ce55,f6fb8194-2434-4f63-b29e-ac3981b441b8,c1,c5,26,?,?,surb={'id': 'da9c52e3-eb10-4f6a-bdbd-70356ef56f54', 'route': ['p2', 'e5', 'i4', 'x5', 'p1', 'c1']}
1769760262.2911565,RECEIVED,ed774526-85ca-44b3-a992-525ee2b6b3c3,713b9b2c-9bee-4ad2-9267-9c9a6a088f9d,c3,c1,27,p1,?,surb={'id': 'cec9b877-aa20-4a35-9cbb-ef6da8fc6e32', 'route': ['p1', 'e6', 'i9', 'x4', 'p3', 'c3']}
1769760262.2955477,SENT,5d24f777-7b9d-4afc-b7d8-4a36230f1297,775d83bb-8b5f-43a0-a775-8c3cd6e02354,c1,c5,3392,?,p1,
1769760262.296143,CREATED,a9774d76-3a7b-4577-863c-9e124d80ca57,c3c3fcc4-3642-43f5-afc4-98091f3a5357,c1,c5,27,?,?,surb={'id': 'b3a94167-87f0-4316-b5dd-5704b2553305', 'route': ['p2', 'e6', 'i10', 'x2', 'p1', 'c1']}
1769760262.6113973,RECEIVED,a141f148-7da7-4c6e-b5c4-8095d8dd6378,ad72a318-5cc3-4ce5-99c8-5e7d01a28b71,c3,c1,27,p1,?,surb={'id': '994fe293-1d2b-4c14-ad7f-f86a3ac3610a', 'route': ['p1', 'e2', 'i3', 'x11', 'p3', 'c3']}
1769760262.7159755,RECEIVED,4da2cbf1-40a5-42af-beab-51e754224b5f,e2d6ba4b-54db-4253-99ef-0cf2afe3b20d,c3,c1,27,p1,?,surb={'id': '6840399f-64b2-4405-9149-bdb5d4483d1f', 'route': ['p1', 'e5', 'i1', 'x10', 'p3', 'c3']}
1769760262.7686777,SENT,ca91ab51-3ab3-4dff-8cc4-d9ddeecb7346,f55ec45c-e88a-4413-99ca-37c453d45628,c1,c5,3383,?,p1,
