timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769751624.1860695,RECEIVED,b5fd0d08-5c62-4f9f-99ed-188dc604444c,cbc1a99e-1a88-406f-b2c9-333aa2660531,c1,c4,27,p1,?,surb={'id': '0084426d-da5d-4902-8e3d-c6c326f61442', 'route': ['p1', 'e7', 'i1', 'x9', 'p1', 'c1']}
1769751624.1990342,RECEIVED,fd985337-9514-40d9-8b64-b20a2a29f3f5,90915ec4-3021-4981-8461-e5390cbf9846,c2,c4,27,p1,?,surb={'id': 'f86077b8-454b-420c-9ffa-694ff5ca1fb2', 'route': ['p1', 'e10', 'i4', 'x3', 'p2', 'c2']}
1769751624.265982,RECEIVED,5b563d24-e659-4ecb-9e05-3cf80646fcb3,01ccfc28-aa71-415e-8d10-ccc694b1bbea,c1,c4,26,p1,?,surb={'id': '99e1ee7a-7291-4163-8b34-3203f1676ccc', 'route': ['p1', 'e1', 'i2', 'x2', 'p1', 'c1']}
1769751624.3602648,RECEIVED,2a5eed45-5402-4ba2-93cc-dc1e8b986705,6d582eee-fcf0-466c-bd2b-896322e8788d,c2,c4,26,p1,?,surb={'id': '4a1698e8-cc18-43d6-b693-c3b329ff553b', 'route': ['p1', 'e10', 'i4', 'x7', 'p2', 'c2']}
1769751624.3747375,SENT,4c828049-3fde-4247-9cb3-c89e1089b980,489eed7f-9c1e-4f79-9220-135a0e680908,c4,c5,3388,?,p1,
1769751624.3748703,CREATED,e2bcbabc-2054-4f1a-9213-2f966dff91cd,0c888eaa-00f5-4bb0-af88-99d67b1359ea,c4,c5,27,?,?,surb={'id': 'e3eb7f1b-1bcf-4e35-97df-8e285810e59f', 'route': ['p2', 'e7', 'i10', 'x5', 'p1', 'c4']}
1769751624.5028043,RECEIVED,7c1b0d98-3d1e-4d6f-ba6f-b8310ae06f07,1eca5226-6b14-43e3-b8fe-ead77dd7cf3d,c1,c4,27,p1,?,surb={'id': 'b4eacde1-db8c-4530-b674-1865279b47b2', 'route': ['p1', 'e12', 'i12', 'x1', 'p1', 'c1']}
1769751624.550484,RECEIVED,dbcff1f5-1e91-4d3a-ad21-c9ae29e67647,3a857b85-7f48-401d-8a3a-6fb4ea10584f,c5,c4,25,p1,?,surb={'id': '878021c0-dd62-4345-8188-282014f5500b', 'route': ['p1', 'e2', 'i12', 'x4', 'p2', 'c5']}
1769751624.7885783,RECEIVED,92342b73-ead5-4db4-a861-15eeffbcf07b,fe88a527-510a-4aa4-8e5e-3818d587006b,c1,c4,27,p1,?,surb={'id': 'd75fb3fb-9c30-4bed-aa1a-be1929f63241', 'route': ['p1', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769751624.803382,RECEIVED,1dc3ca40-8c29-47db-b3de-9a7026a4055a,fe88a527-510a-4aa4-8e5e-3818d587006b,c1,c4,27,p1,?,surb={'id': 'd75fb3fb-9c30-4bed-aa1a-be1929f63241', 'route': ['p1', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769751624.8055496,RECEIVED,b4ae9478-45d3-4ef5-a26a-ebfaad6be8e0,aa4e78eb-fdee-4b85-af30-204120116a54,c1,c4,27,p1,?,surb={'id': '8d646dca-a69c-4706-b713-dd4595c4f96d', 'route': ['p1', 'e6', 'i12', 'x12', 'p1', 'c1']}
