timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443271.0759692,SENT,4f150b86-3ce8-4177-be6f-86e8cb34215a,bf775363-8d92-40f0-99f4-286463ca73f9,c5,c4,3392,?,p2,
1769443271.0761518,CREATED,2772b0ed-8c23-4106-9e8c-87c80b11a825,92374dc9-20fa-4cd7-b962-2fe79b0bbf48,c5,c4,27,?,?,surb={'id': '10853a6f-3708-4439-b0a0-d63d151591a1', 'route': ['p1', 'e4', 'i12', 'x11', 'p2', 'c5']}
1769443271.191944,RECEIVED,5095dc9b-18cd-4199-a0f2-a08718c539d7,8a839da2-331e-4526-8207-f69d6f4568a9,c2,c5,27,p2,?,surb={'id': 'e7ed7ea8-88bf-41d7-bed8-8c29b7a8a5ff', 'route': ['p2', 'e8', 'i7', 'x10', 'p2', 'c2']}
1769443271.2479317,RECEIVED,326969c1-a5d4-45eb-8924-9db54f86c54e,2953b4cf-ca86-44b9-8746-d56f3e0f8f27,c2,c5,27,p2,?,surb={'id': '1e2d5d69-796e-473b-9324-e011d92f9d54', 'route': ['p2', 'e9', 'i4', 'x12', 'p2', 'c2']}
1769443271.369159,SENT,95561606-679f-4071-a0a0-84e0660b2dcd,13bea8e9-d82e-4e4b-ac96-3e9bc8560be4,c5,c4,3383,?,p2,
1769443271.3692684,CREATED,59ee51a3-8633-4314-8589-84b4d3961d89,a8aed653-c32e-4cd6-89f6-518120f3767c,c5,c4,27,?,?,surb={'id': '0c87f78c-5cfa-4a2d-bad4-61d3ced07455', 'route': ['p1', 'e3', 'i4', 'x9', 'p2', 'c5']}
1769443271.581848,RECEIVED,5c9b4171-ba81-4cd9-adb2-f05dc04abebb,0e688e72-59eb-4b78-ba37-609454c9cae8,c4,c5,27,p2,?,surb={'id': '0753b636-106e-43be-ba9d-1a839bd03ed1', 'route': ['p2', 'e4', 'i4', 'x11', 'p1', 'c4']}
1769443271.6856987,RECEIVED,fcbf8c5f-13e7-4b84-a633-c610d08a9be3,f12ed4ad-7681-47d0-9cc2-de1c9b24ef2b,c4,c5,27,p2,?,surb={'id': '3f514e2d-bbf1-4df4-a239-b1ace8a2669b', 'route': ['p2', 'e7', 'i6', 'x2', 'p1', 'c4']}
1769443271.7018504,RECEIVED,a962cc63-67df-46e6-9c90-08896f908707,b860aac4-7a25-4bcd-9468-c6e5b9cefd03,c4,c5,27,p2,?,surb={'id': 'da72011d-2d57-4296-91e9-46971fbce3e8', 'route': ['p2', 'e9', 'i11', 'x3', 'p1', 'c4']}
1769443271.8359113,RECEIVED,e73ee09a-01bb-4eeb-b66d-569b97a4caa7,ac7b3470-e9f0-4d00-82e0-a32a020e7475,c2,c5,26,p2,?,surb={'id': '04908535-2d41-4780-a83a-88f6436b356f', 'route': ['p2', 'e3', 'i4', 'x8', 'p2', 'c2']}
