timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443275.7166514,RECEIVED,f32f9057-9228-499c-9b88-4d4490e254ff,7fa852be-d03d-48b6-979c-27118613e468,c3,c2,27,p2,?,surb={'id': 'd30aed97-d5f9-41c8-8a9c-5eb3705369b0', 'route': ['p2', 'e6', 'i5', 'x10', 'p3', 'c3']}
1769443275.8104353,SENT,40d8ce63-3cc0-4698-a4ae-1335555e35c0,7f6f8d9d-6b9c-4cfe-860a-1f3de1f308db,c2,c5,3388,?,p2,
1769443275.8106055,CREATED,51f05219-f11c-41cc-834b-2dd28ac136ea,4fade348-38e9-4c43-9a4d-c6b2aa2cf0d8,c2,c5,27,?,?,surb={'id': '62195e7f-5f53-4b8e-8263-4ab2abbb4df1', 'route': ['p2', 'e10', 'i12', 'x9', 'p2', 'c2']}
1769443275.8397655,RECEIVED,542c4887-57f1-4b8e-a8f6-46b3fc255ee6,f492b471-7c0d-483f-a623-0466047673c9,c3,c2,27,p2,?,surb={'id': 'ee38e22f-1209-4b6c-98dd-dd654a4cdd2f', 'route': ['p2', 'e8', 'i2', 'x4', 'p3', 'c3']}
1769443276.1405838,RECEIVED,e0966d46-91a4-4ad9-9d46-07c50f7b0de0,be016a9d-c1dd-4155-8798-613de0ffcc59,c3,c2,27,p2,?,surb={'id': '035e5ce2-91a3-409a-bdec-93a5dd869fea', 'route': ['p2', 'e8', 'i8', 'x9', 'p3', 'c3']}
1769443276.190002,SENT,46c59ae2-b6d6-41de-87b1-014bdb19138b,b1a26c09-ae39-4baa-b971-867054b3942b,c2,c5,3391,?,p2,
1769443276.1900978,CREATED,862dafcd-ce3f-49a8-be09-b09a8c26ca7a,ef5fc42d-88aa-4986-a3b8-eb83675bd83b,c2,c5,27,?,?,surb={'id': '98f463b4-49b7-4553-a3e4-f85239718569', 'route': ['p2', 'e12', 'i12', 'x5', 'p2', 'c2']}
1769443276.224444,SENT,ea068c17-3026-4b38-8ee4-d2c2575e6894,c5e03009-3189-48ba-a2c8-744aa13f1def,c2,c5,3387,?,p2,
1769443276.224518,CREATED,f4f8e392-337d-4770-a8a9-bc782ca5ffc0,6a8439ec-d7bc-4d3f-8667-60a613794a19,c2,c5,27,?,?,surb={'id': '6f2dbe43-eab0-438d-b4c7-0d39d9c454ca', 'route': ['p2', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769443276.4817672,SENT,c843090e-ebb8-4c4f-9bb0-753862ee6fc9,83b7ba64-f357-495c-a873-992e8221b2f9,c2,c5,3399,?,p2,
1769443276.481929,CREATED,3169b265-762b-453f-918a-c8218cb8a1e8,ebb87e26-631c-435d-b4b0-73332b0515fd,c2,c5,27,?,?,surb={'id': 'fbcceaef-711d-48c0-a55a-551d91a1e0eb', 'route': ['p2', 'e11', 'i3', 'x6', 'p2', 'c2']}
1769443276.5040917,SENT,bbf301ec-332a-442b-a2b0-650664de1977,7ae04c78-70b9-41c5-81b2-7a7a18d1bcc8,c2,c5,3385,?,p2,
1769443276.5042424,CREATED,550623b9-92db-4a97-8e4f-f7627be9f24c,52eb4647-fde8-48bf-9074-06f15ac587e9,c2,c5,27,?,?,surb={'id': 'bf13b650-1efb-4a9c-b0fd-524855a64874', 'route': ['p2', 'e4', 'i5', 'x3', 'p2', 'c2']}
