timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393811.8267136,SENT,e04911c5-d73e-44b5-98b2-5c0836d0c407,b9d725fd-4d6a-45f9-b099-91f0f15291ac,c5,c2,3354,?,p2,
1769393811.826865,CREATED,c205a0fa-4e71-46f9-8869-409fbce13fad,03feb5c6-06ef-4828-ac7c-c73b2d93b43f,c5,c2,25,?,?,surb={'id': 'b6b62f3b-54d0-4d25-a01b-980683abaea6', 'route': ['p2', 'e3', 'i5', 'x9', 'p2', 'c5']}
1769393812.1324618,SENT,7099e8e6-39aa-4356-909e-369476c6e7a6,b3e93b1c-b10f-4668-bf46-125029ea209c,c5,c2,3376,?,p2,
1769393812.1326103,CREATED,b7033294-ab1c-4d1e-ad0c-a18ef21845a2,03feb5c6-06ef-4828-ac7c-c73b2d93b43f,c5,c2,25,?,?,surb={'id': 'b6b62f3b-54d0-4d25-a01b-980683abaea6', 'route': ['p2', 'e3', 'i5', 'x9', 'p2', 'c5']}
1769393812.1376755,RECEIVED,002b14a8-5992-495b-a9f6-992f46aa7e4a,7d344053-2942-4de6-99ed-442a06ca8b32,c2,c5,27,p2,?,surb={'id': 'a4998323-26fc-4ac1-87de-bc802160cc7d', 'route': ['p2', 'e7', 'i5', 'x4', 'p2', 'c2']}
1769393812.3026755,RECEIVED,523d05fa-7e36-401b-b724-ba11766c345a,77d5b97e-a13d-40df-9705-9752fd8ba266,c2,c5,27,p2,?,surb={'id': '69263423-4c2a-43c7-bce1-f21aa6df90aa', 'route': ['p2', 'e9', 'i10', 'x8', 'p2', 'c2']}
1769393812.5669777,RECEIVED,d25f4742-1941-4dc9-8bde-833f270ce392,7d344053-2942-4de6-99ed-442a06ca8b32,c2,c5,27,p2,?,surb={'id': 'a4998323-26fc-4ac1-87de-bc802160cc7d', 'route': ['p2', 'e7', 'i5', 'x4', 'p2', 'c2']}
1769393813.003025,RECEIVED,79f2a3ba-c375-4b04-bf94-3ccda2fa6830,dd81d68f-9019-42d0-a36d-626a63cc1f09,c2,c5,26,p2,?,surb={'id': 'c0bc2661-fbd5-4aea-b2ae-4119868a5ab8', 'route': ['p2', 'e7', 'i11', 'x11', 'p2', 'c2']}
1769393813.131142,SENT,837d8b6e-98e3-47f7-be74-81100ab735d9,51e10c94-f49d-4925-b36d-60985b2e4d84,c5,c2,3370,?,p2,
1769393813.1313183,CREATED,88dcd35d-590e-47a6-a59e-c80b0f6604a1,d5a3d930-c263-424e-a347-16abf39bf3be,c5,c2,26,?,?,surb={'id': 'e0148238-5b7b-4e74-8284-1600bfde62be', 'route': ['p2', 'e3', 'i4', 'x4', 'p2', 'c5']}
