timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393811.7235718,CREATED,2a416fd1-de3b-440a-8385-6b72d193d1f0,68f03ec3-25d3-46bf-ba72-a72b39dd9d49,c3,c1,27,?,?,surb={'id': '7a149620-57c5-469f-b097-7b5f6ceb5c3b', 'route': ['p1', 'e7', 'i3', 'x7', 'p3', 'c3']}
1769393811.776013,SENT,56768125-3eb2-482f-8414-1797730a9bca,f7c7feb7-3521-41ec-ad29-1d0822ec490a,c3,c1,3376,?,p3,
1769393811.7761955,CREATED,e07aec04-e16f-4068-8f60-41e2ccf78239,68f03ec3-25d3-46bf-ba72-a72b39dd9d49,c3,c1,27,?,?,surb={'id': '7a149620-57c5-469f-b097-7b5f6ceb5c3b', 'route': ['p1', 'e7', 'i3', 'x7', 'p3', 'c3']}
1769393811.9301546,RECEIVED,93acae34-9a75-4fd7-b4b1-56161b3dff04,e0de430b-c242-4df2-8f35-259b58a898e9,c1,c3,27,p3,?,surb={'id': 'e92ff8d4-80ad-40ea-b6bd-429493e0db20', 'route': ['p3', 'e10', 'i11', 'x10', 'p1', 'c1']}
1769393812.0208502,SENT,83d5a4bd-c2c0-4921-bb18-8cf592b9e19f,c77cfed6-659c-46e6-a68f-9b44394152d4,c3,c1,3372,?,p3,
1769393812.0209925,CREATED,b5aef86f-204c-4011-a4fe-7dba8af1a787,67503c4e-2981-423f-aedb-74429afb52cc,c3,c1,26,?,?,surb={'id': '10f59227-e2b8-4f72-93b7-8777dff98f3e', 'route': ['p1', 'e3', 'i1', 'x7', 'p3', 'c3']}
1769393812.2119915,SENT,6b34bd1b-2697-4a13-83c8-6e3d10cada0d,a2dc62ff-e1b1-483b-9b24-551e33c84e4e,c3,c1,3380,?,p3,
1769393812.2122028,CREATED,631d2985-5fee-4d25-9188-e1750883ae33,67503c4e-2981-423f-aedb-74429afb52cc,c3,c1,26,?,?,surb={'id': '10f59227-e2b8-4f72-93b7-8777dff98f3e', 'route': ['p1', 'e3', 'i1', 'x7', 'p3', 'c3']}
1769393812.2280896,SENT,51fc4d4a-c1f2-4c11-b671-9a5d9a0b864e,d1cc7c8c-8780-40fc-b9b6-b38e50861fc3,c3,c1,3345,?,p3,
1769393812.2282608,CREATED,bc22da58-27bb-4bbd-8244-827f86f009fd,3e22dbde-d720-4f17-8e88-a7c69c839517,c3,c1,27,?,?,surb={'id': 'fe5633b8-a0d5-4ed9-af7c-dbb35eb87251', 'route': ['p1', 'e6', 'i6', 'x7', 'p3', 'c3']}
1769393812.6076615,RECEIVED,29badb11-327d-4d83-8569-96652240a92d,0b01259a-c259-44e8-8656-a8518b514a95,c1,c3,27,p3,?,surb={'id': '272ac86d-39c8-4801-846a-502c76d3555e', 'route': ['p3', 'e9', 'i4', 'x8', 'p1', 'c1']}
1769393812.7313054,SENT,a24ab97f-a05b-43ab-b1c4-7da885721402,196d263e-8155-4312-8758-9be3044a20ad,c3,c1,3391,?,p3,
1769393812.7314532,CREATED,b1046e66-94e5-41d8-a43b-be408662434c,3e22dbde-d720-4f17-8e88-a7c69c839517,c3,c1,27,?,?,surb={'id': 'fe5633b8-a0d5-4ed9-af7c-dbb35eb87251', 'route': ['p1', 'e6', 'i6', 'x7', 'p3', 'c3']}
1769393812.9784653,RECEIVED,543d465e-ec2d-45d4-9735-7a906a1297cd,94dc5876-1b03-46b1-975e-f5fe8bd08c98,c1,c3,27,p3,?,surb={'id': 'f3ddedeb-1b23-46e2-90a5-7871227368c6', 'route': ['p3', 'e9', 'i10', 'x4', 'p1', 'c1']}
1769393813.0759776,SENT,50b2d1e3-6a09-4999-853d-9a38df36667c,0505f9b6-20bd-44cd-a628-b07cfe2d1ba1,c3,c1,3389,?,p3,
1769393813.0762136,CREATED,0468b5ff-aa84-450f-9d9c-0e59f0ea2b52,91f47731-fac5-4db8-b605-152f2ce39017,c3,c1,26,?,?,surb={'id': 'b2989a23-5621-43f3-963f-1dd7df312eb5', 'route': ['p1', 'e1', 'i8', 'x9', 'p3', 'c3']}
1769393813.1667974,RECEIVED,bb6de8f4-40c3-4b3d-aabd-3ef044b2acc9,76d298a9-9cc0-48d2-bb51-1f76f04ac7fb,c1,c3,27,p3,?,surb={'id': 'e8a08caf-81e9-45e0-b010-5ff6e825b33d', 'route': ['p3', 'e2', 'i4', 'x10', 'p1', 'c1']}
1769393813.1790175,RECEIVED,e032c3a3-3e78-4bd7-afed-c567c7a9e531,e0de430b-c242-4df2-8f35-259b58a898e9,c1,c3,27,p3,?,surb={'id': 'e92ff8d4-80ad-40ea-b6bd-429493e0db20', 'route': ['p3', 'e10', 'i11', 'x10', 'p1', 'c1']}
