timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769740520.7484505,CREATED,b704e28c-8f29-4584-b0c9-e20e2b30821d,31d5c2ad-7000-4cfc-9640-54004a4650f0,c2,c1,27,?,?,surb={'id': '616a72cc-129c-403d-8d6a-63a84ce8e2e6', 'route': ['p1', 'e6', 'i11', 'x9', 'p2', 'c2']}
1769740520.7806973,SENT,7aaf6005-41bf-4ae1-845b-b9740f7808dc,55e5a20d-c553-41e3-9788-a0a460863e0f,c2,c1,3384,?,p2,
1769740520.7808459,CREATED,3e022891-199e-40ca-be5e-e4334b499a0b,31d5c2ad-7000-4cfc-9640-54004a4650f0,c2,c1,27,?,?,surb={'id': '616a72cc-129c-403d-8d6a-63a84ce8e2e6', 'route': ['p1', 'e6', 'i11', 'x9', 'p2', 'c2']}
1769740520.9055474,SENT,df9b48c0-2e80-41f0-b2d5-3f06f4168bac,9c21fe0c-33a1-4026-a50a-1173771eb7b9,c2,c1,3376,?,p2,
1769740520.9056807,CREATED,332a15bb-7805-4681-9511-27e1cacf63cf,91f39353-c2b3-406f-9571-a91dfd16cfac,c2,c1,27,?,?,surb={'id': '8bced395-c4c4-4650-af91-60c458b9f57e', 'route': ['p1', 'e1', 'i12', 'x5', 'p2', 'c2']}
1769740520.9355109,RECEIVED,df8a9cb3-8a8e-423d-b41a-601842b0dff3,b1270fc5-a373-4b74-9ce9-9db10fa10174,c4,c2,27,p2,?,surb={'id': '4f7a09f3-3212-476c-9ad3-38be0757a85f', 'route': ['p2', 'e10', 'i3', 'x2', 'p1', 'c4']}
1769740520.9452884,RECEIVED,a3201e6b-318b-4d65-ab22-1c73eb9d3ada,41227f3f-b7b4-4a22-8112-40b8a36ae6e1,c4,c2,27,p2,?,surb={'id': 'fd53d7d2-75e5-450e-b5aa-64dd30064713', 'route': ['p2', 'e9', 'i7', 'x5', 'p1', 'c4']}
1769740521.0188444,RECEIVED,29c1e8d2-f443-4346-8f89-8ca24e5493e5,08e3b1c4-8951-4f14-81c0-32d8564dd6d6,c1,c2,27,p2,?,surb={'id': '5722be93-65d2-4b9e-be13-8859be0319fc', 'route': ['p2', 'e11', 'i4', 'x12', 'p1', 'c1']}
1769740521.062252,RECEIVED,743cd72b-fe9a-4a5f-9e80-5f489b8d98fd,3fa356c6-97ba-4bbe-b702-47dc52176ba9,c3,c2,27,p2,?,surb={'id': '6e4bd471-ddfd-4222-97bb-84c73166161c', 'route': ['p2', 'e12', 'i3', 'x11', 'p3', 'c3']}
1769740521.1279225,RECEIVED,8485d166-9dd5-4095-81f3-9fbd37fe9bca,c9a4d371-8127-4444-b1f3-0a1a3ecb2686,c3,c2,27,p2,?,surb={'id': '63da6cd9-d73d-4730-b6b8-cc1dcdb6aa9d', 'route': ['p2', 'e6', 'i6', 'x10', 'p3', 'c3']}
1769740521.2413573,SENT,e48488cc-b427-4fd9-8857-1ec0133814f3,b6d5b060-a03d-493c-945a-93cef59c1d7e,c2,c1,3364,?,p2,
1769740521.2414863,CREATED,13a7b33e-c72e-4008-8466-a7efa5ec09f0,91f39353-c2b3-406f-9571-a91dfd16cfac,c2,c1,27,?,?,surb={'id': '8bced395-c4c4-4650-af91-60c458b9f57e', 'route': ['p1', 'e1', 'i12', 'x5', 'p2', 'c2']}
1769740521.3217518,RECEIVED,53f36f64-91f7-45f9-8459-34a785d614c2,145f9926-33d3-40fe-958a-d4b8aba23007,c4,c2,26,p2,?,surb={'id': '57fdfc5a-a8c7-4c62-a072-d69567382422', 'route': ['p2', 'e12', 'i9', 'x8', 'p1', 'c4']}
1769740521.391385,RECEIVED,13b236f5-ae22-4a83-9ebf-7353efa1e4c3,b3ac381e-23d5-4351-a9be-beb9200691da,c3,c2,27,p2,?,surb={'id': '53cd83ef-cd5d-4912-ab2d-91c15911c5ff', 'route': ['p2', 'e6', 'i4', 'x9', 'p3', 'c3']}
1769740521.5143547,RECEIVED,411fd9ed-2356-4b0d-8679-a5f776472942,c2d7cf87-c8e1-4503-92d5-7d9f1624ed5b,c3,c2,26,p2,?,surb={'id': 'f3aaddfb-448b-41d2-b11b-11309893d81b', 'route': ['p2', 'e4', 'i5', 'x9', 'p3', 'c3']}
1769740521.6284003,RECEIVED,d7fd4408-b605-4323-aa72-0583fe7bebbd,a4f4be69-4b79-4d57-b6e4-fcaf13a943df,c5,c2,27,p2,?,surb={'id': 'f8af7a2a-2ec7-4a59-967e-e6ae95062136', 'route': ['p2', 'e2', 'i8', 'x8', 'p2', 'c5']}
1769740521.6614764,RECEIVED,fb918bfa-98b7-432c-9011-6148f2645827,63835ca2-8ef9-41f5-84ec-35ea4fdead3b,c5,c2,27,p2,?,surb={'id': '34b47ab0-eb33-4056-9884-7d8e10a60ce5', 'route': ['p2', 'e10', 'i2', 'x8', 'p2', 'c5']}
1769740521.7814999,SENT,5cd0061c-dfee-4c0b-ae90-c7e80d3c93fd,295abfaf-517e-46c1-b797-5f769f0837ed,c2,c1,3364,?,p2,
1769740521.7816362,CREATED,7d8bf035-f9c1-4c98-b7cd-827e6646fbcb,ae162e37-bdcf-485c-865a-ddadb4c2448a,c2,c1,27,?,?,surb={'id': 'bf26fb80-2447-451c-9f01-34dec271741b', 'route': ['p1', 'e2', 'i7', 'x2', 'p2', 'c2']}
1769740521.9088922,RECEIVED,1da116e9-5d57-4954-9a8c-12b1f3079c38,a6639bbb-4c81-425a-b23c-b8f697e59deb,c1,c2,27,p2,?,surb={'id': 'fee372f9-9ec2-4b74-89f2-63ea4a355578', 'route': ['p2', 'e6', 'i11', 'x6', 'p1', 'c1']}
