timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391344.253611,CREATED,937f43a4-ffd6-437f-a90c-70c14f54eb8a,99657c5a-10ef-47c4-96b3-ccd8aca6033b,c4,c5,27,?,?,surb={'id': 'a5ffd3df-f057-41bd-b02f-b165f52bd7a1', 'route': ['p2', 'e4', 'i10', 'x6', 'p1', 'c4']}
1769391344.4761472,RECEIVED,3c622d35-6b9a-43a0-8b15-5e2e2e182f7c,b5715f0e-916f-4cd0-9af2-dac9b51c1e21,c2,c4,27,p1,?,surb={'id': 'ba2e7a57-bd45-4d05-b443-f0971b36c24e', 'route': ['p1', 'e2', 'i4', 'x8', 'p2', 'c2']}
1769391344.4794412,SENT,7a55341c-4b56-4e75-bac7-284434e86cd7,9c6e3044-01e6-4763-8e3b-0a0960559185,c4,c5,3387,?,p1,
1769391344.4795833,CREATED,f45eef24-51ae-4bd5-8af9-08be8e40ed75,1d15058f-a45c-4fa9-af97-259672a9ea56,c4,c5,27,?,?,surb={'id': 'ccd637d6-0f4c-483b-9bb6-7ce01723e5b5', 'route': ['p2', 'e11', 'i10', 'x2', 'p1', 'c4']}
1769391344.5858073,RECEIVED,e6ec7ecb-d053-4ffc-9596-29f66f0271b3,678fe638-fb99-4870-884c-17e1deede8d7,c5,c4,27,p1,?,surb={'id': '0ad7155c-7ca8-4efe-96d9-347cb5311f9a', 'route': ['p1', 'e9', 'i11', 'x9', 'p2', 'c5']}
1769391344.7699964,SENT,6ca90a3b-f57b-4e87-b373-e79ae06ec5e9,c241c433-474d-4ed7-a0b4-492907b553e9,c4,c5,3400,?,p1,
1769391344.7709606,CREATED,51bf0051-a6d4-4d49-a74b-8c6668acfed8,8c7b9365-e338-4ce4-8cf4-1726e5c7dbd3,c4,c5,27,?,?,surb={'id': 'f79afef6-c31e-4fc4-857a-245d5a4eb1d7', 'route': ['p2', 'e8', 'i11', 'x2', 'p1', 'c4']}
1769391344.9292314,RECEIVED,315f3f93-2db7-41e1-b34e-f50cf79f834f,ab6f2608-439a-4ee0-84a4-f0e8a6bb9595,c5,c4,27,p1,?,surb={'id': '32b66c81-c69a-4436-bba5-e54ac4731195', 'route': ['p1', 'e1', 'i9', 'x5', 'p2', 'c5']}
1769391345.1289108,SENT,9aec63da-73c5-41b9-ac6c-fb8a2dd38e36,93033aad-662a-4b4d-a33f-ac4b411e13f5,c4,c5,3384,?,p1,
1769391345.1290863,CREATED,c3062534-431b-43ff-9123-e07c9c06d181,8cd9c775-1b47-4b6e-ad94-20c092fd67ac,c4,c5,27,?,?,surb={'id': '2e4b592f-ac06-4012-8b0e-d496f0dfcc8b', 'route': ['p2', 'e2', 'i3', 'x4', 'p1', 'c4']}
1769391345.1668723,RECEIVED,fba764b8-3503-428e-b0a0-162d02634a55,454ae289-4b28-4b9b-9e38-e3b35e5a5bf8,c5,c4,25,p1,?,surb={'id': '8127d9c8-36f5-4ac0-9dc5-2f58dad060b6', 'route': ['p1', 'e6', 'i5', 'x11', 'p2', 'c5']}
1769391345.4759848,SENT,1a41101a-3169-4d78-bf99-65e5fa936fd1,2293a3b7-4e66-49e4-b41e-8b791be684f4,c4,c5,3396,?,p1,
1769391345.4762683,CREATED,87351e0b-3e31-4c23-a394-a1823bbbc478,4e0d0fe1-b428-4e12-89ee-436a4c621c28,c4,c5,26,?,?,surb={'id': '1931e1b4-a3a0-4774-8265-376d92cab459', 'route': ['p2', 'e1', 'i10', 'x10', 'p1', 'c4']}
1769391345.708644,SENT,380a28c4-dcfe-4843-a73d-e557434c8b9c,31c9fa6f-1430-47d9-9bfb-48c97bbd80e5,c4,c5,3388,?,p1,
1769391345.7087877,CREATED,ad9c001f-eca2-46d1-8171-cfd7e024d814,d8e06556-b2e8-4d95-9039-c2eec4f52912,c4,c5,27,?,?,surb={'id': 'c76a3081-c98c-4110-9279-dc456084be48', 'route': ['p2', 'e11', 'i6', 'x9', 'p1', 'c4']}
1769391346.2375526,RECEIVED,a82fd823-054c-4e93-b654-50c2d7b667b9,0337d699-d808-40c9-89e4-2bef3c2bab3b,c5,c4,27,p1,?,surb={'id': '8777a1b6-7a39-4d76-aebb-e52362c77bfa', 'route': ['p1', 'e5', 'i11', 'x6', 'p2', 'c5']}
1769391346.2931752,RECEIVED,9c96fb38-1df9-4b53-a1e6-5503f47335e3,3bc149de-5be1-4640-a3e6-46ca5e7d5e91,c2,c4,27,p1,?,surb={'id': '7a9d48b5-dbd4-4545-a142-99d43039204f', 'route': ['p1', 'e2', 'i1', 'x6', 'p2', 'c2']}
1769391346.4166234,RECEIVED,12aca1fb-ba28-498c-ae0b-19d0df858784,6641f6e3-d9ed-4364-bd1d-a168efa570a2,c2,c4,27,p1,?,surb={'id': '9e0a0cb9-3e34-408b-918f-17133e589c91', 'route': ['p1', 'e5', 'i2', 'x5', 'p2', 'c2']}
1769391346.6752708,RECEIVED,4661d418-b48e-48f0-9623-835a1181d190,bb52f33c-3f28-4066-83c5-ec89227a126f,c5,c4,25,p1,?,surb={'id': '88d3fd4b-7d56-4667-81d0-5cbc49b83570', 'route': ['p1', 'e8', 'i10', 'x5', 'p2', 'c5']}
1769391346.6930182,SENT,e01ef658-6d22-4095-b694-b7263426e262,cce09bd2-5f30-4ed7-815d-ce237402eaf8,c4,c5,3405,?,p1,
1769391346.6933372,CREATED,b4673fa9-ef24-4a96-a541-cf426e6ab80b,def682eb-ba61-4f29-b692-7042363a9f04,c4,c5,27,?,?,surb={'id': '360638e9-a13a-4faf-b85d-5a1d8dc659f4', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c4']}
1769391346.709725,RECEIVED,c9923507-a47b-4d24-98b9-27d14347eab0,68e5ded8-20c5-4300-afd7-3280807f7ef3,c5,c4,27,p1,?,surb={'id': 'ba44b5e6-2b33-4c40-b272-c44b5e5bfa2b', 'route': ['p1', 'e5', 'i1', 'x2', 'p2', 'c5']}
1769391346.7520316,SENT,363d067a-59a0-4d71-93eb-ef4f26c780c2,44e9fb9e-92e5-4475-8767-613adc2f1723,c4,c5,3359,?,p1,
1769391346.752264,CREATED,b22d1a7c-2050-464f-babd-5da8da5a6021,5ef6f690-4a79-44e2-88bd-72e5e221668d,c4,c5,26,?,?,surb={'id': '3f78f093-7d3d-4152-a324-b17c8d8f4298', 'route': ['p2', 'e10', 'i2', 'x5', 'p1', 'c4']}
1769391346.8591251,RECEIVED,17a46bfd-9b26-40b4-90d1-81bc2fb58e0f,2ff72011-fb87-44d5-b4f5-7991de3abe89,c5,c4,27,p1,?,surb={'id': 'b355291f-7639-4617-819e-11e6435f99a5', 'route': ['p1', 'e12', 'i7', 'x8', 'p2', 'c5']}
1769391347.185472,RECEIVED,2ba19de2-31f2-4adf-b6ce-0fc5217aab27,cce4793a-fb18-4821-8555-2176662526fe,c2,c4,27,p1,?,surb={'id': '502cc40d-c595-400a-90cb-017aac83cd03', 'route': ['p1', 'e4', 'i7', 'x2', 'p2', 'c2']}
1769391347.1883366,SENT,dfe93dcf-b90e-40a5-8d01-e6c898f4e29e,8e6e615b-741e-4d7d-b860-6cc748100b18,c4,c5,3371,?,p1,
1769391347.188488,CREATED,91550d8d-73e4-4d6f-9665-6f400626c840,eba3def3-3c60-4c76-ad1b-c3219172e3c5,c4,c5,27,?,?,surb={'id': 'faf0b0d9-a836-4f34-a0da-f57aba0e54c6', 'route': ['p2', 'e6', 'i11', 'x10', 'p1', 'c4']}
1769391347.287153,RECEIVED,63a6cb4f-3a2d-4479-b8e6-620bf84fda28,6a8b39ac-33f9-4ecd-95de-f7d33c421582,c2,c4,27,p1,?,surb={'id': '7d1cda88-db1e-4832-9b67-6e8e6918c5b6', 'route': ['p1', 'e10', 'i5', 'x8', 'p2', 'c2']}
1769391347.3281367,RECEIVED,37e4d0a8-ae31-43c3-a09d-e5f241c61abc,fec98249-e053-4dfc-9536-fca21dbafc6a,c5,c4,26,p1,?,surb={'id': '1f2d4d72-e92d-4cd8-9a45-282867e95ab7', 'route': ['p1', 'e6', 'i9', 'x6', 'p2', 'c5']}
1769391347.5288112,RECEIVED,31655321-f09b-46e1-8d33-adce1fb7c814,353c546f-8a1e-4e52-a949-3dce682bd725,c2,c4,27,p1,?,surb={'id': '7706d63f-c4fb-4d5c-b543-528b309e3227', 'route': ['p1', 'e10', 'i9', 'x4', 'p2', 'c2']}
1769391347.6303623,SENT,4862a6c4-6936-4efe-b5b7-0d426c4e9ed9,ff0b5d0a-651f-4978-8865-8fdbc814e6c3,c4,c5,3361,?,p1,
1769391347.6305418,CREATED,768b61c1-34aa-4973-8676-a263b656f51f,9250b8c0-cf5b-408e-8a1c-2b68c0f00b50,c4,c5,27,?,?,surb={'id': 'b958d6e4-0e43-4bf6-a977-5430a3292c74', 'route': ['p2', 'e4', 'i9', 'x11', 'p1', 'c4']}
1769391348.142432,RECEIVED,616b72e5-bb50-4939-a236-f61e81d70686,e2e9e695-e56d-422a-841a-ab09ec4523d4,c2,c4,27,p1,?,surb={'id': '4e33a630-6f43-4e53-bddf-b4280828fbdf', 'route': ['p1', 'e2', 'i11', 'x5', 'p2', 'c2']}
1769391348.2300913,RECEIVED,c4dac56d-9e3b-47ad-8694-30da54b0e51c,0c36349e-4c54-4fb8-a63f-6ba699cd85e6,c5,c4,27,p1,?,surb={'id': '1b5a334e-782e-4b36-8f8e-f9fc522f09ef', 'route': ['p1', 'e8', 'i3', 'x10', 'p2', 'c5']}
