timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759642.9385173,SENT,49c36d65-4671-430a-873a-e3d3f5630861,627e5c21-1eb9-452f-895e-01b21079b091,c5,c1,3388,?,p2,
1769759642.9386494,CREATED,d4443608-869a-4f51-883d-abc3c7c4179a,31a86ae8-0932-46ee-a7fd-f8cc62288267,c5,c1,27,?,?,surb={'id': 'd3ae24b3-3769-4fd9-8cdd-f4a55cde6ff4', 'route': ['p1', 'e8', 'i5', 'x4', 'p2', 'c5']}
1769759642.973506,RECEIVED,e6d8fff1-c1cb-4759-9911-8874b2bdb345,851d0245-bdcf-41b2-ae81-096468262000,c1,c5,27,p2,?,surb={'id': 'b0e89279-703a-4efb-aad8-eda8c5a52117', 'route': ['p2', 'e2', 'i12', 'x2', 'p1', 'c1']}
1769759643.1944532,SENT,043843ee-c2ea-4864-9d06-886df715ceb3,eb5563bb-5de0-4003-8c55-30e886253b44,c5,c1,3373,?,p2,
1769759643.1945908,CREATED,21b7e070-9a5d-4221-be26-0e874fdb59f2,17fa14b0-9034-49cd-a75b-03630df6043c,c5,c1,27,?,?,surb={'id': 'b383d0f7-8795-479c-aadb-d6ec2fd8a3b6', 'route': ['p1', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769759643.3194265,RECEIVED,4bb46003-3051-490d-9afa-e0bf2c9d0b11,614e7988-7c5a-405d-908b-e57847d385aa,c1,c5,27,p2,?,surb={'id': '9cfb6b9b-12b9-4fc7-ad62-fb7b156a0af2', 'route': ['p2', 'e6', 'i2', 'x7', 'p1', 'c1']}
1769759643.3754618,SENT,e0836480-d8ff-4c23-89fd-013cb78160a0,92774d63-0b8b-4a55-a298-25c9bf124f17,c5,c1,3379,?,p2,
1769759643.3755972,CREATED,8caacc7b-c0db-4757-adaa-f095d7aae265,18ef7c76-29ee-4865-bafb-cc1133ce13dd,c5,c1,27,?,?,surb={'id': 'd9ae4dc5-0ccc-424e-85ff-ea136c9a5b80', 'route': ['p1', 'e1', 'i12', 'x5', 'p2', 'c5']}
1769759643.6046717,SENT,f9fbd5e1-4dbd-4c32-8a12-2585513b6b67,a90b741b-1835-4190-8f98-fe3e1ff6a991,c5,c1,3371,?,p2,
1769759643.6048055,CREATED,90355276-390e-4b4c-af21-5f5c266ee913,87496e56-aa49-4049-8634-ff51551c9a67,c5,c1,27,?,?,surb={'id': 'a4229f0f-71b3-4d51-9d9c-698a9743ab00', 'route': ['p1', 'e2', 'i11', 'x8', 'p2', 'c5']}
1769759643.7275567,RECEIVED,fbd46748-2bd0-4f7b-b518-9ab8d3a0c420,0f9639af-e2f1-43ea-ad7b-78ab5936e6b1,c2,c5,26,p2,?,surb={'id': 'fe8935b5-5035-456e-b870-6a73bc5ddb82', 'route': ['p2', 'e3', 'i11', 'x8', 'p2', 'c2']}
1769759643.731999,RECEIVED,04a425e4-5995-4f7c-b23c-53c17c0e35b2,f3533e9f-d9c9-4ec2-b938-ece6417bb523,c2,c5,26,p2,?,surb={'id': 'a38cb651-e3a9-46fd-8d70-6f314f2cbd7f', 'route': ['p2', 'e6', 'i9', 'x9', 'p2', 'c2']}
1769759643.762697,SENT,385cbf4c-bad0-4393-b424-46c064b765d8,84e0d440-c313-4de9-81cc-1b61cce2a297,c5,c1,3374,?,p2,
1769759643.7628345,CREATED,2ffb786e-89e1-47ec-a12d-74d8ae0fdd48,1051b01f-9b0c-4b0f-9c88-006cba61bb4c,c5,c1,27,?,?,surb={'id': 'ea752a47-ff74-4ed3-ad0c-c7c0fc17a694', 'route': ['p1', 'e12', 'i3', 'x7', 'p2', 'c5']}
1769759643.8528657,RECEIVED,3a6e4863-e167-4964-bcb6-cc95a76a4f14,9fc364eb-72bd-4493-8c83-f9733014b4c2,c1,c5,26,p2,?,surb={'id': 'e994034a-d05d-41df-8424-17e8edfffe3f', 'route': ['p2', 'e12', 'i5', 'x3', 'p1', 'c1']}
1769759644.0254166,RECEIVED,e1b6fd05-fdb3-4efe-97b6-39712e0fdf49,7cc368b4-241a-4aa2-b001-97832343e1df,c1,c5,27,p2,?,surb={'id': 'c793f0e0-7c80-441c-a196-d9cb93ef0625', 'route': ['p2', 'e10', 'i12', 'x8', 'p1', 'c1']}
1769759644.1765256,RECEIVED,bb0cfe5a-b722-4ef5-aa58-9c8ed351be77,10884c01-c7ad-4953-b6a6-71ea239afb19,c4,c5,27,p2,?,surb={'id': '48277f0f-8900-4651-84e5-4623d3bebf14', 'route': ['p2', 'e1', 'i6', 'x10', 'p1', 'c4']}
1769759644.3094075,RECEIVED,d5715cee-4540-47e6-a9b0-aa115ce65446,43f74561-8322-4259-9265-83f2e2955c63,c4,c5,27,p2,?,surb={'id': '30e35c05-e1a6-4477-9446-b563eb054ad1', 'route': ['p2', 'e5', 'i2', 'x7', 'p1', 'c4']}
1769759644.5487354,RECEIVED,9f4d2000-08ff-40cc-8b93-ab312ead6ff6,3de38c84-c849-49b2-9811-ae3642742c45,c1,c5,27,p2,?,surb={'id': 'c8d61a3b-98ee-4795-870e-d11583f1e358', 'route': ['p2', 'e5', 'i10', 'x1', 'p1', 'c1']}
1769759644.5838268,SENT,0869959c-8ca6-4018-affe-aef099887eba,358c7fb0-6411-4821-bc6c-9bc3455cd97f,c5,c1,3400,?,p2,
