timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769753477.7884917,CREATED,ea78550b-135d-463c-96d3-dc123072210a,b1789be1-868f-4383-8302-5f36b18d096a,c3,c1,26,?,?,surb={'id': 'fd3e025d-0455-4c0a-bca3-14852df5105e', 'route': ['p1', 'e5', 'i1', 'x8', 'p3', 'c3']}
1769753477.802333,SENT,752d7c2f-8587-4159-b197-e72dc5f87d8b,6f43c5f6-98c7-4989-b7cd-d386635dddd8,c3,c1,3356,?,p3,
1769753477.8027105,CREATED,bd8be0dc-0686-40d0-aa65-a6f4f7df14b3,b21064e8-f872-471e-a3ad-d5a341fca389,c3,c1,26,?,?,surb={'id': 'd7e25bd7-b120-4277-a055-f7e21e5b9f19', 'route': ['p1', 'e6', 'i4', 'x3', 'p3', 'c3']}
1769753477.8117058,RECEIVED,1cd938f7-7310-4d98-8847-4a3cdd2bcc61,a0d908d7-866b-43b1-9eb0-671e8eed831f,c2,c3,25,p3,?,surb={'id': '43b0122d-0835-4d55-ab8f-cbbc88929754', 'route': ['p3', 'e1', 'i2', 'x7', 'p2', 'c2']}
1769753477.8282046,RECEIVED,604fcde4-dcea-497f-9656-bf51a75bfa49,542184ba-e3e1-455a-b40e-9ca6fc1526ca,c2,c3,27,p3,?,surb={'id': 'ace630f9-8a90-429b-9991-6ec2c6df3a7d', 'route': ['p3', 'e6', 'i9', 'x10', 'p2', 'c2']}
1769753477.95135,RECEIVED,d632e85b-18bf-419c-8b7d-c1cd9a96e041,032781da-99b3-4e2e-955a-cc90e6a659dd,c2,c3,26,p3,?,surb={'id': 'bf996fd0-18fb-4c8a-b1ac-d4b8c3a022f1', 'route': ['p3', 'e11', 'i11', 'x5', 'p2', 'c2']}
1769753478.1522715,SENT,7546bfb7-e8b7-469f-804d-38cdf7eed93e,b10455d3-8516-4eb7-ad41-2edbc71d2794,c3,c1,3363,?,p3,
1769753478.1524143,CREATED,a57ba712-6c1c-4551-97b2-38e12a64e939,4560e180-ebd3-4462-92e0-815373d88a5c,c3,c1,26,?,?,surb={'id': 'ba8abb28-2a1c-4307-8740-4e73b7dedeaf', 'route': ['p1', 'e8', 'i3', 'x12', 'p3', 'c3']}
1769753478.351423,RECEIVED,5bf25167-3390-4306-b387-1b629f75e7c3,81c3656b-342a-4c54-a6c9-1644e5512841,c2,c3,26,p3,?,surb={'id': '4cd6cbc4-c517-4e74-b20b-f786d72c5604', 'route': ['p3', 'e2', 'i8', 'x9', 'p2', 'c2']}
1769753478.611778,SENT,3ffd6a9e-7683-4333-8cde-bbeebd2589d6,b327ab23-09ed-4abe-b090-da92eadb2e29,c3,c1,3388,?,p3,
