timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769482749.1710863,RECEIVED,7b0c9166-f67c-4c63-a7cc-2889cbc59fd7,7feb2dee-5683-4933-b107-4081407c85d2,c3,c5,26,p2,?,surb={'id': '615a6cb1-05de-45bd-8e54-61c47f1378cc', 'route': ['p2', 'e4', 'i12', 'x10', 'p3', 'c3']}
1769482749.1789777,RECEIVED,3e0e804b-e981-4bf3-b041-35a6cc188a49,835848d1-4a17-41c8-807c-313733c14427,c1,c5,27,p2,?,surb={'id': '9dd1afeb-af6e-4ccb-8bdf-319565e13b46', 'route': ['p2', 'e7', 'i5', 'x1', 'p1', 'c1']}
1769482749.2076542,SENT,a6d56947-25f6-4ad3-be64-af2be0ef3de7,73710ab4-5c1e-4558-ad14-1d385da5b136,c5,c3,3380,?,p2,
1769482749.2078276,CREATED,e599d37a-32ce-418b-b6d7-56ae9332aac5,c811e84b-6fab-4cdd-b64e-d1957f5cca75,c5,c3,27,?,?,surb={'id': 'a51a7883-5fce-49b9-b421-6a07a801d056', 'route': ['p3', 'e3', 'i9', 'x6', 'p2', 'c5']}
1769482749.2635324,SENT,2c92d9a1-7563-4d9f-bdbc-0d02a228cebb,f9699001-9c66-446b-b1dd-c9ba60ffd0d8,c5,c3,3371,?,p2,
1769482749.2636847,CREATED,99cda5a7-8698-474b-b4e2-6d036cb5c902,e344dc52-e023-47fd-b760-acb031d79886,c5,c3,27,?,?,surb={'id': 'c040fc92-6668-4d6f-88f9-8a19baa59d7a', 'route': ['p3', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769482749.333202,SENT,1411634c-6e94-47f3-9cae-272fc649eceb,d0764c39-8a80-4666-a353-699a4aedd23a,c5,c3,3390,?,p2,
1769482749.333382,CREATED,2c5607b9-6026-4b76-b641-0740309c3109,e344dc52-e023-47fd-b760-acb031d79886,c5,c3,27,?,?,surb={'id': 'c040fc92-6668-4d6f-88f9-8a19baa59d7a', 'route': ['p3', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769482749.417904,RECEIVED,117b32b8-c305-4e10-99d8-e5f2865fffd3,aee06619-81db-4ac3-bcd3-d6a80450c1c9,c1,c5,26,p2,?,surb={'id': '6470e35f-6d4c-44b6-b772-3eb3c40a4b71', 'route': ['p2', 'e6', 'i12', 'x1', 'p1', 'c1']}
1769482749.537043,SENT,46d07977-ac3d-456e-ad91-3bbad1e736e6,ae1e9846-b1de-4d62-95fe-c7ea28cb02bc,c5,c3,3400,?,p2,
1769482749.5378535,CREATED,09f99145-3b5f-4daa-b06a-b6dff5f869f4,4100d310-1b47-42c9-9086-99f79e42bf38,c5,c3,27,?,?,surb={'id': '9e36fdad-b89b-48e3-a739-6c627f027d6b', 'route': ['p3', 'e7', 'i6', 'x10', 'p2', 'c5']}
1769482749.6412156,SENT,13c4594e-e508-4c55-bcbe-b1f2aa6c32ad,f51c85f6-1eb1-4cb8-b597-670c4b6a47cc,c5,c3,3377,?,p2,
1769482749.641316,CREATED,fb7a6354-22e4-4c41-97a6-15eb79319c41,4100d310-1b47-42c9-9086-99f79e42bf38,c5,c3,27,?,?,surb={'id': '9e36fdad-b89b-48e3-a739-6c627f027d6b', 'route': ['p3', 'e7', 'i6', 'x10', 'p2', 'c5']}
1769482749.6957169,RECEIVED,9a8e565e-6e31-43e8-94b5-3fbcfc1f9384,0fae17d7-2826-42e5-b75f-41bd42df2211,c1,c5,27,p2,?,surb={'id': '6018c352-abc3-478b-9860-97162a6e4b48', 'route': ['p2', 'e4', 'i12', 'x7', 'p1', 'c1']}
1769482749.7149017,RECEIVED,2687fb30-f66d-4aba-b76b-bf064570a6d7,8852afff-a106-43d4-aeb8-25986a358a30,c3,c5,27,p2,?,surb={'id': '8b197307-a977-46ee-bcdc-1caf8b7e6987', 'route': ['p2', 'e7', 'i7', 'x6', 'p3', 'c3']}
