timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769756561.194565,RECEIVED,699444db-e6c4-4d3c-b6c0-b5432a7f2a87,44476066-a63b-4d8d-bb56-a2e28bb14e38,c5,c2,26,p2,?,surb={'id': '560be6b5-43c7-4f3d-8ca7-008e01d7b71f', 'route': ['p2', 'e9', 'i3', 'x8', 'p2', 'c5']}
1769756561.3147306,RECEIVED,81090423-b16b-40a1-a3bf-20bbb2625ad4,d061fee2-360b-4596-b4c7-e05bf294edae,c5,c2,27,p2,?,surb={'id': '772c53a6-57dd-4eb3-b074-bd04f1b9cd61', 'route': ['p2', 'e9', 'i12', 'x1', 'p2', 'c5']}
1769756561.3790858,RECEIVED,ac3af81f-ea5d-444a-ac5d-a000457f3a55,ea7428d9-89b1-4972-9b3d-07bc08497a3b,c5,c2,27,p2,?,surb={'id': '547924eb-71b6-4546-97f2-100d84c980f6', 'route': ['p2', 'e5', 'i8', 'x4', 'p2', 'c5']}
1769756561.508081,SENT,03988ad9-3b1f-4dbc-ae10-45d93a4d74d2,406d5297-63e5-47fc-9c4c-669dcec53862,c2,c1,3375,?,p2,
1769756561.5082166,CREATED,14a008ce-5ce5-4254-8e0b-0df814a488a7,2e7ef054-7bb1-4bdc-88fa-8e20043c7410,c2,c1,27,?,?,surb={'id': '1b917ff1-61f1-44e2-bf71-96ef83617975', 'route': ['p1', 'e11', 'i6', 'x9', 'p2', 'c2']}
1769756561.6178446,RECEIVED,25d71788-f0d7-403c-919f-1fd6945444e1,a6a1b72a-80ef-4b4a-8a46-1a16308a7bc2,c5,c2,26,p2,?,surb={'id': '72fdb030-3dc8-4b9a-b6df-3b3273d95fc5', 'route': ['p2', 'e9', 'i10', 'x10', 'p2', 'c5']}
1769756561.6565804,RECEIVED,f106711d-2c29-404e-bb50-5c2aeba958aa,d9d42ebc-b4eb-47ba-966e-8cf5bcbfcede,c5,c2,27,p2,?,surb={'id': '38984aac-e658-4459-8063-db3566dd7823', 'route': ['p2', 'e11', 'i7', 'x9', 'p2', 'c5']}
1769756561.8077047,RECEIVED,e5f83ea9-1444-4042-859b-335c1312b62e,84a5191f-5bc1-4c90-bdbb-fc0bef5ce88e,c5,c2,26,p2,?,surb={'id': 'f4f40f8a-4479-4517-bd23-f24bd0c0d251', 'route': ['p2', 'e8', 'i1', 'x3', 'p2', 'c5']}
1769756561.8618288,SENT,8eb03a3f-b2e8-41bd-8286-bc1c923919dc,cc4a3970-a8b9-4831-a4d4-5718f9d11534,c2,c1,3360,?,p2,
1769756561.861957,CREATED,17d05546-eb63-45e6-a698-507d45fda61a,6ac95047-7383-4bb0-af04-2c527ddc0d57,c2,c1,27,?,?,surb={'id': '72ff11a6-e040-4389-8326-b65751518f33', 'route': ['p1', 'e2', 'i8', 'x6', 'p2', 'c2']}
1769756562.5056918,SENT,df30708a-b92b-43bd-8c60-4fc11eae6350,beadf709-8ec4-4a0b-8bf5-e5d9e2bf979d,c2,c1,3376,?,p2,
1769756562.50584,CREATED,25f5b91e-1b4d-4f97-b6e9-6c02c0947072,4c88b0b5-44c7-48be-8e6f-49dbf63574ab,c2,c1,27,?,?,surb={'id': '11ae0215-f061-4e5e-ad66-eeee30e2ff46', 'route': ['p1', 'e8', 'i5', 'x7', 'p2', 'c2']}
1769756562.8173578,RECEIVED,4d555c2e-cf97-4483-90f1-8b9ff67cc3d0,f32d6496-fe45-48cc-9466-aceffd57e3b8,c5,c2,24,p2,?,surb={'id': '01073089-ad1e-4486-b74b-e0dd7b6ffcd7', 'route': ['p2', 'e6', 'i4', 'x3', 'p2', 'c5']}
1769756563.0801008,RECEIVED,cd96def9-2b0a-4d71-a6f0-cd3a18480cad,4eb7f722-4885-4b81-a0f5-6f8685e948e3,c5,c2,27,p2,?,surb={'id': '647664b9-8b11-4dc1-bc7e-176a622ece07', 'route': ['p2', 'e1', 'i3', 'x8', 'p2', 'c5']}
1769756563.1177015,SENT,3e2cac9b-eb06-4b74-9ab9-504602907b19,4a4a4131-e5e9-40c9-ad52-12a741091336,c2,c1,3400,?,p2,
1769756563.1178524,CREATED,a4cb6580-89d4-40d4-9dce-41748d021f9c,25494d50-4298-4323-b74b-54fa61116dfd,c2,c1,26,?,?,surb={'id': 'c27bc751-2af0-498a-82ea-27f533a6bd97', 'route': ['p1', 'e11', 'i11', 'x8', 'p2', 'c2']}
1769756563.2692711,RECEIVED,addc84ee-97bd-4055-beaa-b07de8254df8,f5d805b8-3a4a-45af-9741-ac75f9b280a4,c5,c2,27,p2,?,surb={'id': '773658d8-5773-4d1f-98e8-1971ee11a255', 'route': ['p2', 'e4', 'i2', 'x1', 'p2', 'c5']}
1769756563.4680889,RECEIVED,52ec27ec-0714-4c54-9cea-fcb97d649a2c,9d988c7f-b388-4f93-93d1-dc847116f2fa,c5,c2,27,p2,?,surb={'id': '1912f34a-edb4-4fe1-9e49-5d6d4e1d2351', 'route': ['p2', 'e1', 'i5', 'x11', 'p2', 'c5']}
1769756563.6948829,SENT,a6e1b377-0453-4901-80e9-f60a0478f3bf,d206b0b2-43f7-402f-9a53-d4461491c93e,c2,c1,3396,?,p2,
1769756563.6950157,CREATED,8aee77c0-435d-4f85-a60e-4ab55595cd2a,35d3b35a-bbb0-4866-93b2-bd7c8ec17d44,c2,c1,27,?,?,surb={'id': '177380df-cdfc-4630-996f-921d0051ed37', 'route': ['p1', 'e8', 'i10', 'x10', 'p2', 'c2']}
1769756563.7309554,RECEIVED,20ddf45a-eeab-40b5-9343-b49578b0fde8,aff34769-5ecf-47cf-ac47-95774b5b56d8,c5,c2,27,p2,?,surb={'id': 'bd8736f9-de89-4bd3-b1bf-5d36c41a6097', 'route': ['p2', 'e2', 'i4', 'x9', 'p2', 'c5']}
1769756563.9118102,SENT,698b98be-9bca-4682-b046-3e1f6457f280,7d6e7a39-6e63-472e-b30b-5cd829d1c77b,c2,c1,3383,?,p2,
1769756563.9119403,CREATED,4305affe-27fc-4ca3-a3a1-0b47a2faff84,63661b7d-35f6-4b0e-9c93-3dd6d07da804,c2,c1,27,?,?,surb={'id': '87d43909-df41-47d3-beb1-f7249d4938d8', 'route': ['p1', 'e3', 'i5', 'x7', 'p2', 'c2']}
1769756564.0272233,RECEIVED,bcf56741-fd14-460a-bc95-f576d0f4a452,4b3fd846-b7a4-4825-ae39-952d90045b61,c5,c2,27,p2,?,surb={'id': 'c24867e0-7df2-42e3-9f61-1a4fde204ab0', 'route': ['p2', 'e3', 'i11', 'x2', 'p2', 'c5']}
1769756564.2866397,SENT,29bb1c6c-92f3-45cf-a134-f83b56023969,a687636a-2ea3-4301-9cc8-cc911283d063,c2,c1,3387,?,p2,
1769756564.286784,CREATED,4f055d8f-30b5-46ac-9bb1-d159ca654636,bc178050-acaa-414d-be0f-5cfde3108943,c2,c1,26,?,?,surb={'id': '91253719-2f67-41a5-8db6-0a71d6c878ef', 'route': ['p1', 'e3', 'i4', 'x5', 'p2', 'c2']}
1769756564.338608,SENT,84c5683d-4a4c-4fea-acd7-a6192687e9cc,4bcd32b3-d545-4d9a-8055-692a453a189b,c2,c1,3359,?,p2,
1769756564.3387408,CREATED,59a2d07b-dd9f-4a74-b2b6-15c9ff041c8f,4b8fcfeb-eb27-42cc-95fe-c4a15e0a53fe,c2,c1,26,?,?,surb={'id': 'b9819d5c-7ff1-4617-b309-9abb1c31b058', 'route': ['p1', 'e12', 'i9', 'x6', 'p2', 'c2']}
1769756564.3698153,RECEIVED,5f26b7fa-0eeb-4f62-833c-6aa97970ee80,aa7d6163-eb39-4014-8513-60daf6e1c5af,c5,c2,27,p2,?,surb={'id': 'bdfc47fa-a1fd-435d-b0e3-e60397885008', 'route': ['p2', 'e10', 'i12', 'x2', 'p2', 'c5']}
1769756564.4932084,SENT,3a8d3c1c-187b-47ba-84b7-7e7480b31e08,78b5e541-3346-43e8-8c64-fec1ad1ea23e,c2,c1,3359,?,p2,
1769756564.493349,CREATED,eb6d6618-9fcd-4247-9a78-51a0bc4a6f97,ce63dad5-fd1f-45c2-a57a-aad11738475a,c2,c1,26,?,?,surb={'id': '51b12024-154c-48cf-b5ff-784a1bfc0ccf', 'route': ['p1', 'e8', 'i7', 'x9', 'p2', 'c2']}
1769756564.6593845,SENT,80260114-920c-4806-a8e0-83f77f1470e9,9fc672d3-d2d7-414d-9cd7-4a9f64a3ad29,c2,c1,3376,?,p2,
1769756564.6594932,CREATED,e92657dd-8f4f-4838-ad04-9c88b6fe6ea6,d327454b-1679-4550-af0f-46f843cb3229,c2,c1,27,?,?,surb={'id': '259c2baf-5fbe-41a7-b2bc-e399c6e12c98', 'route': ['p1', 'e5', 'i7', 'x1', 'p2', 'c2']}
1769756564.9114757,RECEIVED,5d97b75f-0994-4a7e-b720-f65aab91ae2b,37ae0a8a-6dac-49d6-a754-2714a9fdbca3,c5,c2,27,p2,?,surb={'id': '3b9c9b78-60bb-40c0-a4e1-2038169dace0', 'route': ['p2', 'e1', 'i10', 'x11', 'p2', 'c5']}
1769756564.9739335,RECEIVED,987c0d82-e853-46bd-b8d2-e7fda1200488,99505db4-9bf3-4005-8173-ca83b478a62d,c5,c2,27,p2,?,surb={'id': 'd7f778ca-aa5a-49ce-a7a0-cb679f1a2159', 'route': ['p2', 'e8', 'i9', 'x11', 'p2', 'c5']}
1769756564.9862409,RECEIVED,28db7bcb-1afc-4ae8-ba1b-ceb6fe6c43d8,cca230bc-a664-4981-a2ea-5dadd475ffb4,c5,c2,26,p2,?,surb={'id': 'c097f79c-3e6a-4194-935d-8a950871d056', 'route': ['p2', 'e5', 'i10', 'x5', 'p2', 'c5']}
1769756565.1531074,RECEIVED,4107c9fe-7ccb-47ac-acad-ef320780e58a,d079eb7f-9d4c-4b36-a981-6be982c00377,c5,c2,27,p2,?,surb={'id': '1597cca5-ba8a-4e3f-888b-a84f83905702', 'route': ['p2', 'e7', 'i4', 'x8', 'p2', 'c5']}
1769756565.2943695,SENT,4df7106c-8718-4087-be24-b706535ca9fc,1e9ebca3-aad9-4a36-b390-1225595ba145,c2,c1,3361,?,p2,
1769756565.2945013,CREATED,1a130926-a8cb-478c-943c-b94883d6a4e8,2f2cc580-789e-4e69-a522-d61f69393ab1,c2,c1,26,?,?,surb={'id': '2d5607ea-f7a6-4e1c-9ab6-a065411d849a', 'route': ['p1', 'e2', 'i2', 'x1', 'p2', 'c2']}
