timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769763346.2298124,CREATED,d59a2ec2-e6bf-47a0-8469-4d3a5896bafe,03e41131-2968-4603-bd82-fe0aa9945896,c4,c3,27,?,?,surb={'id': 'f6ec59ce-b7d2-48c4-9502-85389cf5cff8', 'route': ['p3', 'e6', 'i1', 'x1', 'p1', 'c4']}
1769763346.2738283,SENT,24ef4e23-f503-4965-909d-23ccb8f3970f,b4c697c9-c5c2-40ca-810a-7abf50c2e198,c4,c3,3380,?,p1,
1769763346.2739623,CREATED,936aaaec-f39f-42b3-891b-dbb8d215b52e,9610ad55-0a9e-4624-b0bc-8c96433373d9,c4,c3,27,?,?,surb={'id': '734753e8-a3bb-4897-91d0-08515f04dc95', 'route': ['p3', 'e2', 'i10', 'x8', 'p1', 'c4']}
1769763346.3997157,RECEIVED,67337713-2a0a-4f2f-a25e-1085254e4f90,bc47e8fa-11e5-451a-8374-30099a449c02,c2,c4,27,p1,?,surb={'id': '730eef68-b242-427c-892e-7c441d0774a1', 'route': ['p1', 'e4', 'i10', 'x12', 'p2', 'c2']}
1769763346.4475243,RECEIVED,080e58e6-9a04-4799-88ac-745c3c46ebc2,7f13220f-55c1-45f5-b754-85eed22a5310,c2,c4,27,p1,?,surb={'id': '18c4e218-d953-448a-8a65-c1d17912d8e4', 'route': ['p1', 'e11', 'i11', 'x10', 'p2', 'c2']}
1769763346.46223,RECEIVED,ca9b930b-80c9-43ca-a82e-a1b02955f03b,7294e400-cc1b-4bf4-ba74-84e44c8624e5,c3,c4,27,p1,?,surb={'id': '5e88f866-aa06-4eaa-bb9b-ce6dda2db0d4', 'route': ['p1', 'e9', 'i9', 'x5', 'p3', 'c3']}
1769763346.5013077,SENT,53760292-281a-4763-8ab5-654278d82de0,35b3404e-510d-4734-9611-ac0ee95e8072,c4,c3,3360,?,p1,
1769763346.501385,CREATED,858002d8-eaf0-40a1-a070-943cb9edefd1,7337a727-2532-496d-9bd5-15d396f70f67,c4,c3,26,?,?,surb={'id': 'fc7f934b-0f73-4415-90ca-b2be45513e5e', 'route': ['p3', 'e4', 'i7', 'x6', 'p1', 'c4']}
1769763346.6408935,RECEIVED,cdb7b491-c380-4a71-acae-cc25528c35ac,4bb022b0-1489-4b57-86b2-6156be496eac,c3,c4,26,p1,?,surb={'id': '5d23cb00-bd92-43d4-9fea-2863c551044a', 'route': ['p1', 'e4', 'i9', 'x8', 'p3', 'c3']}
1769763346.6482708,RECEIVED,96a136e4-70cb-445c-9a00-4d6ef5a605c1,3b0ed63a-d073-4cdf-9dcd-095a73b14e3f,c2,c4,26,p1,?,surb={'id': '042923b5-7339-4bd3-8b74-d0c51fd7d846', 'route': ['p1', 'e11', 'i11', 'x5', 'p2', 'c2']}
1769763346.649948,SENT,b1b37380-585d-478b-ba84-867ecfad6651,7310b7e2-e07b-4dd7-9ecd-245f26bcfd27,c4,c3,3367,?,p1,
1769763346.6501276,CREATED,228ed701-4f36-43ef-bee6-1b0ccb2b1864,adaab319-635a-494e-b977-03ceed1aa9fe,c4,c3,26,?,?,surb={'id': '24b0eacb-fe3b-4565-ab19-e578bf217e4c', 'route': ['p3', 'e4', 'i11', 'x3', 'p1', 'c4']}
1769763346.7805004,RECEIVED,e0723f9e-d5b4-44e7-85b4-0cb0ba3f5e0b,8b8829a7-9020-460b-a583-15142f8a789c,c2,c4,27,p1,?,surb={'id': '16f8ebdb-c018-4e8b-8970-4cad0362509f', 'route': ['p1', 'e6', 'i10', 'x9', 'p2', 'c2']}
1769763346.933628,RECEIVED,7ad56907-a883-45a0-9c30-76d9ce628def,b83bb29f-a82e-4e5f-aab4-0a37bad5a2bc,c3,c4,27,p1,?,surb={'id': '5b40236c-834b-433d-8ca9-0e437e1f3dff', 'route': ['p1', 'e7', 'i8', 'x9', 'p3', 'c3']}
1769763347.5348012,SENT,15c0f3df-dc05-4f0f-aa4c-aa5e7042e1e4,7b16ae3c-5bcc-42fe-a255-11ff3bb7256c,c4,c3,3360,?,p1,
1769763347.5349479,CREATED,8d3e4b6e-eae9-4b81-8d27-1adcd438531d,b6691ed1-5763-43fd-bc6d-fd96b5a6f1cf,c4,c3,27,?,?,surb={'id': '4076dfa3-2b11-424b-bae0-b77b32b1b206', 'route': ['p3', 'e1', 'i5', 'x1', 'p1', 'c4']}
1769763347.545605,SENT,beacecf5-da5a-4ad5-a47a-088dd192634b,06ec5c96-45c0-460a-86ea-0db13a6a6088,c4,c3,3401,?,p1,
1769763347.5457573,CREATED,24b4db3c-f075-42f6-82cd-ee2e81ec7c67,3d3714ab-78d9-4d0d-8ac2-ada066c83394,c4,c3,27,?,?,surb={'id': '19f0eadb-8248-419b-bb1c-a49200ac5ab3', 'route': ['p3', 'e12', 'i11', 'x11', 'p1', 'c4']}
1769763347.978601,RECEIVED,06d33fdb-b653-4e4f-9132-1e634cf1a1d2,6b8b9adf-e58c-4744-8866-c350e252ca83,c2,c4,27,p1,?,surb={'id': 'd0db1673-e281-4dd0-9e31-3ce0936117c7', 'route': ['p1', 'e9', 'i11', 'x6', 'p2', 'c2']}
1769763348.1774642,RECEIVED,740dc7f0-73e3-43a0-9405-e24b9b9471db,b6756731-cdc4-48e8-a65e-dd20b2177858,c2,c4,27,p1,?,surb={'id': '2a3fbad0-c12d-46e1-b04c-ac7011383bd9', 'route': ['p1', 'e12', 'i12', 'x2', 'p2', 'c2']}
