timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443891.3471923,CREATED,0869b529-1cc8-4e56-9acb-7e922302183e,1ed4a500-8858-42df-8d15-56be5bc422ac,c4,c5,27,?,?,surb={'id': '54b23898-c423-432e-a173-06287d6cb7e1', 'route': ['p2', 'e6', 'i12', 'x3', 'p1', 'c4']}
1769443891.4563477,RECEIVED,20efe384-ad49-4e32-bc32-1f9504840f65,02bdf7c1-b201-41cd-b9d5-7a736ec14db6,c5,c4,27,p1,?,surb={'id': 'dcab66dd-077e-4874-b064-bddb1852270e', 'route': ['p1', 'e1', 'i1', 'x5', 'p2', 'c5']}
1769443891.5916522,SENT,dbc62c4b-ef4a-4795-860b-e7ebc1b26812,a43f2eda-9a1f-40a0-a159-3f7d6654e406,c4,c5,3360,?,p1,
1769443891.591823,CREATED,b01dfa72-c3f8-47fa-b2ea-7965643827fa,8a1902e6-4283-48a1-babe-f57ba0bc5d84,c4,c5,26,?,?,surb={'id': 'd1fd1521-ebbf-4864-a696-16cd39576ef2', 'route': ['p2', 'e8', 'i7', 'x12', 'p1', 'c4']}
1769443891.7339413,SENT,afc36c74-4e44-496c-8a24-8fb7f7189c68,8b971114-0f64-41f5-a78e-da3d535a9473,c4,c5,3383,?,p1,
1769443891.7346208,CREATED,a4451457-a039-44e7-99f9-2d4afc8fb6c3,5e0a619b-09f2-46ab-b22e-8fdfc601fc10,c4,c5,27,?,?,surb={'id': '8f4162c8-d09e-4753-a4da-77b7799b09be', 'route': ['p2', 'e2', 'i9', 'x7', 'p1', 'c4']}
1769443891.8599827,RECEIVED,859850c3-26ad-480b-9734-a16da77d39f8,508e9aeb-847d-4e31-9218-b25fcba92a96,c5,c4,27,p1,?,surb={'id': '905398b5-2c14-4c44-82c8-6196ceada093', 'route': ['p1', 'e4', 'i11', 'x8', 'p2', 'c5']}
1769443891.87746,RECEIVED,f4c081ad-6cc5-43f3-97d5-a99a4321c22b,486c17fd-cd8b-4a36-a453-80f11d1a5dd7,c5,c4,27,p1,?,surb={'id': '9ce71b77-91cb-4572-b0f6-2e923eda856c', 'route': ['p1', 'e10', 'i5', 'x8', 'p2', 'c5']}
1769443891.916866,SENT,49976996-77d6-4eb2-90f5-8fb239f33da1,f5fd6629-1d4f-492e-923f-f083f4517976,c4,c5,3403,?,p1,
1769443891.9169664,CREATED,ac62e6b5-e4d0-4542-9fa0-a2fe220c3f6a,e75a046d-8616-4271-8920-278405748c08,c4,c5,27,?,?,surb={'id': 'd743d4cb-fdba-4c23-97d7-18c2157bf944', 'route': ['p2', 'e11', 'i6', 'x6', 'p1', 'c4']}
1769443892.104495,RECEIVED,c6381022-9d3c-41d1-bd16-2880899f22cb,75a5c983-d0a3-4ac1-bd85-a3bf8259c150,c5,c4,27,p1,?,surb={'id': 'e5e7afa4-69ee-4e01-a49d-5503a11ac636', 'route': ['p1', 'e7', 'i3', 'x8', 'p2', 'c5']}
1769443892.16747,SENT,0b1012fe-b3c8-41b5-97ad-4fd0adc903c0,fed5cd31-59ef-4913-adcc-5dc5f8d95595,c4,c5,3393,?,p1,
1769443892.16762,CREATED,ec0cb38c-d13b-48af-b98e-7c513d31ddc6,c521d665-18a9-4a68-a283-47d69f26820f,c4,c5,26,?,?,surb={'id': 'a944a83f-412c-4cb5-9bb5-40ec5f5075ba', 'route': ['p2', 'e8', 'i7', 'x12', 'p1', 'c4']}
1769443892.2005692,SENT,6315537d-1532-47bf-868f-9bf6d011c3b3,9be265be-af62-424a-be13-ac4d4ddb83c0,c4,c5,3378,?,p1,
1769443892.2007186,CREATED,90f60aa6-fcbf-4f51-a717-891a32cc9fe3,b16939cd-cb15-4b9d-9d32-1b8731233b69,c4,c5,27,?,?,surb={'id': 'e3cad692-d95c-43df-9782-4c5002391667', 'route': ['p2', 'e9', 'i7', 'x1', 'p1', 'c4']}
1769443892.2319138,SENT,1e0c6130-c3fe-47b7-b514-0fb265ed2f50,498d7262-7a71-455d-8849-0d4e5625b6e3,c4,c5,3401,?,p1,
