timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731270.0538678,RECEIVED,c6bf6a2e-93be-46f3-ba3b-d76b43779f4d,0bca533b-2a1e-40e1-b236-dd37b82b11de,c4,c2,27,p2,?,surb={'id': 'f9d7b0ab-cf06-477a-b838-1015bdd21335', 'route': ['p2', 'e11', 'i3', 'x4', 'p1', 'c4']}
1769731270.1375763,SENT,59a0d94f-0922-47ea-9d93-9d3c594bdcc1,dc77c38f-2c09-4424-ba29-26c86f1a39ac,c2,c1,3384,?,p2,
1769731270.1377077,CREATED,6550555d-1ddf-447d-91f1-0cd781794419,9269afc7-a373-409e-967b-ec1ac33cada0,c2,c1,27,?,?,surb={'id': '9b59dab3-3635-4129-a041-f26176bf9e1e', 'route': ['p1', 'e7', 'i10', 'x9', 'p2', 'c2']}
1769731270.1691608,SENT,72856950-3470-4b95-bc99-717876c48fd6,b808bd33-e9ae-4aad-83d6-4949b95d124c,c2,DROP,2020,?,p2,
1769731270.1696095,CREATED,e16c8b92-90c9-48be-9a10-7a89fbbab693,e06a60bd-c1d9-47b5-9c5b-fa7aa6abb2e2,c2,DROP,26,?,?,
1769731270.3117845,SENT,dd32d4f1-4131-4156-b4b6-a3fbc09f8fbf,1a049f4d-ec6c-4424-aeba-2bbba7939c5e,c2,DROP,2016,?,p2,
1769731270.3119283,CREATED,2fa468d7-d3f0-4902-b2dc-bae068ca3d1e,0f33a09c-81b0-4cfc-84db-977b17826a91,c2,DROP,27,?,?,
1769731270.3407397,RECEIVED,7defb54b-5fd7-42d1-9915-2652b953bbfe,c4f1d7af-99e9-417b-8125-98cc15be4c19,c4,c2,27,p2,?,surb={'id': '86daf3f8-68ec-4f12-b285-fc19d3f86d2e', 'route': ['p2', 'e2', 'i11', 'x2', 'p1', 'c4']}
1769731270.5884705,RECEIVED,9f608a86-f6d2-4e5b-bd3f-ed1295a9f800,7df63d0b-baf3-4445-ab76-c11e1ea0f71a,c4,c2,27,p2,?,surb={'id': '3fa190b7-15b0-4d40-8235-37e43f12999c', 'route': ['p2', 'e10', 'i11', 'x9', 'p1', 'c4']}
1769731270.7311933,RECEIVED,8231beb4-b926-41a0-bed9-1ff1810e5f16,28ae3e13-8a55-42d4-ba59-74b81655592c,c4,c2,26,p2,?,surb={'id': '3a1f397d-1ad9-4652-81a5-b9f1771a0103', 'route': ['p2', 'e6', 'i6', 'x7', 'p1', 'c4']}
1769731270.9470923,RECEIVED,121ba377-1489-413b-964f-55b84eb8966c,8010e429-ad25-48da-a530-8ac741995947,c4,c2,27,p2,?,surb={'id': 'dc96540c-1450-425a-96c8-028458cb780b', 'route': ['p2', 'e11', 'i9', 'x5', 'p1', 'c4']}
1769731271.1238816,SENT,0c422e91-740d-47f9-9b33-79f9e4b0a620,1ab0f9cc-7bd9-4611-8dd8-41fc20f0d847,c2,c1,3372,?,p2,
1769731271.1240144,CREATED,e76d144d-92ea-43fd-a378-b3b4f78a8070,cf46145a-b992-4455-8424-33897afebd16,c2,c1,26,?,?,surb={'id': 'bf167ec0-b7b5-4aec-92c3-e850eb160724', 'route': ['p1', 'e7', 'i2', 'x10', 'p2', 'c2']}
1769731271.2119226,SENT,31fa8cc2-d9e7-46b4-84cc-3f51ddc5d5ad,43bec4cd-0272-434f-8478-5784bd258107,c2,c1,3368,?,p2,
1769731271.212301,CREATED,a37c0455-86e7-4217-884c-98348554be88,c4a76ef3-bc09-47e9-b96e-3a97e60f62f1,c2,c1,27,?,?,surb={'id': 'f4462871-2503-490b-883b-d3ea7d659922', 'route': ['p1', 'e5', 'i6', 'x11', 'p2', 'c2']}
1769731271.2530646,RECEIVED,9326b3e5-876b-46cf-869e-67e8e11463ab,ab1cd9ee-f6a0-4c5d-9b32-44f028acb0f7,c1,c2,25,p2,?,surb={'id': '551e493f-46b9-4d13-8986-a606779e5aa5', 'route': ['p2', 'e2', 'i2', 'x9', 'p1', 'c1']}
1769731271.264953,RECEIVED,1356a80a-1790-4733-a3ee-b3f65985ca2b,9ba50dca-adc7-44b5-8310-ffcb38ce6c04,c4,c2,27,p2,?,surb={'id': '590a48c9-4762-4777-af89-379ea9df7890', 'route': ['p2', 'e12', 'i1', 'x9', 'p1', 'c4']}
1769731271.300461,RECEIVED,129f9035-fe0c-4de8-89a5-7c03354b2c35,99c019dd-c55f-4ed3-aabe-668e5c0a29a1,c4,c2,26,p2,?,surb={'id': 'd2da5d42-00cc-4183-a64e-3e810bd679f8', 'route': ['p2', 'e12', 'i6', 'x4', 'p1', 'c4']}
1769731271.4752045,RECEIVED,219a4057-9ec8-4d90-a431-ce4b70d79f04,3e67dfa2-de4a-4498-b8ad-3876060eaa9c,c1,c2,27,p2,?,surb={'id': '1e2b6676-70c3-4db6-a227-813d18344360', 'route': ['p2', 'e1', 'i8', 'x1', 'p1', 'c1']}
1769731271.5903015,RECEIVED,6304d0e7-3650-470d-a9a7-77d4a6f3f211,47b2cb39-d7b3-4763-a083-c15e20f7d51d,c1,c2,27,p2,?,surb={'id': '9f1192b7-9069-46e1-87ad-aeef4c4b0c50', 'route': ['p2', 'e9', 'i12', 'x1', 'p1', 'c1']}
1769731271.6440606,RECEIVED,d5a9bb3c-dff3-4f3c-901b-381541d1974b,0b230578-0a86-4450-858c-6d381d8edcde,c4,c2,26,p2,?,surb={'id': 'de75aa08-69e8-465f-8b78-912225a9d5e9', 'route': ['p2', 'e6', 'i8', 'x3', 'p1', 'c4']}
1769731271.7182024,RECEIVED,2d686076-55ef-4748-bff7-a78eda371f37,4fa17780-5470-48ba-8c01-003fc631961e,c4,c2,27,p2,?,surb={'id': '07d7bea1-642a-45e6-ba71-eca6878461e8', 'route': ['p2', 'e6', 'i9', 'x11', 'p1', 'c4']}
1769731271.7721457,RECEIVED,f6b7845b-2c7b-45c3-a4d0-6a2abb9a9cc3,527bf15e-d188-4a05-a614-5bbdd2869934,c1,c2,26,p2,?,surb={'id': '1e5491aa-4f2b-4895-ae1e-c4e268c94c54', 'route': ['p2', 'e3', 'i12', 'x4', 'p1', 'c1']}
1769731271.8769479,RECEIVED,a5983de6-1117-40b1-8f70-3ddc9a7b7edc,36d41236-55bb-4d23-a436-b6998c32f977,c1,c2,27,p2,?,surb={'id': 'a349524b-e3a0-44b3-bc51-ba96fbafbd4a', 'route': ['p2', 'e7', 'i6', 'x3', 'p1', 'c1']}
1769731271.8913596,RECEIVED,3f43182f-f581-43cb-b66c-5d1ced34df41,4287f428-6508-4eb6-80f6-3323bda9a260,c1,c2,27,p2,?,surb={'id': 'e03c79f0-5238-4eb2-bb06-6b3f4a725a0b', 'route': ['p2', 'e11', 'i1', 'x11', 'p1', 'c1']}
1769731271.9077997,RECEIVED,7934910d-e5a6-4d23-9a30-85eaf9e5c785,04f1f719-730e-4d91-b36e-e4843f9fe470,c4,c2,26,p2,?,surb={'id': 'f81499b6-7e76-41bc-803a-bf356c9af850', 'route': ['p2', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769731272.0069234,RECEIVED,d6c072e3-ab0a-4836-aaec-067e685c153d,aff69d86-be4c-49f4-b1a1-2e04ba4069ef,c4,c2,27,p2,?,surb={'id': '13f617ec-37c8-4744-9d7c-ca308a6f3835', 'route': ['p2', 'e7', 'i1', 'x5', 'p1', 'c4']}
1769731272.0162807,SENT,338058d0-4e0b-41f8-ad7a-859c24b41c4e,a855f64c-a9bb-4540-8d92-474b5f061f3d,c2,c1,3358,?,p2,
1769731272.016408,CREATED,8594b0d2-c26e-42b3-8d49-595d207b4654,672de78f-47db-4d80-84d6-89f537d3c7a8,c2,c1,27,?,?,surb={'id': '76485ed9-99e4-4bab-be80-c82bec93a1a5', 'route': ['p1', 'e7', 'i10', 'x4', 'p2', 'c2']}
1769731272.11277,SENT,6ff55f3c-6efc-427c-83ac-c9dfdc55384b,8545f96b-3959-4d42-af6a-e510fa4f2e26,c2,c1,3375,?,p2,
1769731272.112917,CREATED,9dc37ec1-63e1-429e-a34f-3fa7e11445eb,8e13ae1d-84f8-4227-b814-23748ff0caee,c2,c1,26,?,?,surb={'id': '5f6cf9d3-91fc-4c01-a4b5-2dfeece9ce6c', 'route': ['p1', 'e7', 'i2', 'x6', 'p2', 'c2']}
1769731272.8879755,SENT,6f27f316-6dc2-4060-b428-2c0bb4ee2181,cef4a73b-d89a-472b-ae4b-9c780bc38aeb,c2,c1,3386,?,p2,
1769731272.8881562,CREATED,d3f89ea0-f435-4724-a6b1-29449b36e1bc,6ea73323-4d07-4ea1-803e-0f0c5d8ab2d5,c2,c1,24,?,?,surb={'id': '982167ac-1469-4d3f-8229-f1c211ffba21', 'route': ['p1', 'e12', 'i9', 'x4', 'p2', 'c2']}
1769731273.0168428,RECEIVED,583d3244-e612-48ee-b243-078d5a3ef3d3,499157a6-a528-4ca4-a54b-4ae945fdbc04,c1,c2,25,p2,?,surb={'id': '680eb6ef-2418-4115-bde8-68135f8656a5', 'route': ['p2', 'e4', 'i1', 'x5', 'p1', 'c1']}
